relative_path,boxes_processed,mean_abs_diff,max_abs_diff
day2/members/klaus/10_0219.webp,3,0.8779116030092593,81
day2/members/klaus/10_0464.webp,3,9.467918113425926,208
day2/members/klaus/18_0665.webp,3,0.6583930121527778,69
day2/members/onanong/14_0331.webp,3,1.5029568142361112,107
day2/members/onanong/18_0325.webp,3,1.4476996527777777,94
day2/members/tien/20_0651.webp,3,1.2197536892361112,102
day3/members/allie/12_0148.webp,3,0.7732566550925926,63
day3/members/allie/16_0683.webp,3,1.7402524594907407,81
day3/members/allie/17_0399.webp,3,1.1431749131944444,102
day3/members/bjorn/10_0195.webp,3,1.6938205295138888,102
day3/members/cathal/20_0290.webp,3,0.9656304253472222,79
day3/members/klaus/08_0380.webp,3,1.1222782841435186,102
day3/members/luca/11_0126.webp,3,1.9214228877314814,104
day3/members/luca/11_0673.webp,3,30.631926359953702,229
day3/members/stevan/08_0717.webp,3,0.5745442708333334,60
day3/members/stevan/09_0144.webp,3,0.5234013310185185,80
day3/members/tien/10_0690.webp,3,1.5306441695601851,84
day3/members/tien/20_0155.webp,3,1.012867115162037,55
day3/members/tien/20_0434.webp,3,0.6714861834490741,79
day3/members/werner/08_0688.webp,3,0.7217068142361112,83
day4/members/allie/10_0446.webp,3,2.5495967158564814,84
day4/members/allie/12_0604.webp,3,0.7234700520833334,58
day4/members/florian/11_0412.webp,3,1.0857114438657407,117
day4/members/onanong/10_0182.webp,3,0.7812590422453703,87
day4/members/stevan/10_0629.webp,3,0.7383987991898148,56
day4/members/werner/12_0528.webp,3,0.5470558449074074,61
day4/members/werner/18_0672.webp,3,1.2049424913194444,93
day1/members/allie/09_0673.webp,2,8.957935474537036,179
day1/members/bjorn/18_0134.webp,2,5.975070529513889,162
day1/members/florian/11_0210.webp,2,0.5503291377314815,89
day1/members/klaus/11_0523.webp,2,0.8568070023148148,109
day1/members/klaus/12_0632.webp,2,0.4686234085648148,54
day1/members/klaus/17_0206.webp,2,1.2058557581018519,87
day1/members/luca/08_0225.webp,2,0.4017379195601852,53
day1/members/luca/08_0716.webp,2,0.8280164930555556,114
day1/members/luca/19_0006.webp,2,0.6213107638888888,75
day1/members/onanong/08_0572.webp,2,0.7403428819444444,58
