relative_path,policy_category,attempted_method,artifact_gate_action,final_method,selection_source,privacy_score,utility_score,balanced_score,component_runtime_seconds,output_path,status
day4/members/luca/11_0578.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.7068260993352491,0.8969179788855218,0.9103834734722251,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day4/members/luca/11_0578.webp,ok
day4/members/luca/14_0018.webp,small_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6573261477289574,0.8820679934036344,0.9103834734722251,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day4/members/luca/14_0018.webp,ok
day4/members/luca/14_0559.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6993143683041416,0.9070972202165858,0.22685115938519357,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day4/members/luca/14_0559.webp,ok
day4/members/luca/17_0685.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day4/members/luca/17_0685.webp,ok
day4/members/luca/18_0257.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.741484803084193,0.9201376680118404,0.20688564204432164,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day4/members/luca/18_0257.webp,ok
day4/members/luca/18_0521.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day4/members/luca/18_0521.webp,ok
day4/members/luca/18_0590.webp,motion_blur_or_low_sharpness,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6580531999993001,0.8863975274081882,0.6738494239504591,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day4/members/luca/18_0590.webp,ok
day1/members/allie/08_0276.webp,small_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6279757971961432,0.8816279658158381,0.44036753299739034,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/08_0276.webp,ok
day1/members/allie/09_0160.webp,small_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.640254893290358,0.883160037337549,0.5571084784739246,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/09_0160.webp,ok
day1/members/allie/09_0273.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6094700358362258,0.8677111598358149,0.9103834734722251,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/09_0273.webp,ok
day1/members/allie/09_0647.webp,mixed_scale_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5754365025590508,0.865000394818899,0.48701446715726204,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/09_0647.webp,ok
day1/members/allie/09_0673.webp,large_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5565828666176391,0.8624125723166556,0.32362658752085594,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/09_0673.webp,ok
day1/members/allie/10_0099.webp,small_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6387255110048885,0.8812579551020556,0.6369705478374125,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/10_0099.webp,ok
day1/members/allie/10_0296.webp,small_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.6135828166819287,0.8756623620858329,1.0763465478374123,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/10_0296.webp,ok
day1/members/allie/10_0339.webp,small_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.6125672971454506,0.8757935241248828,1.0894894239504591,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/10_0339.webp,ok
day1/members/allie/10_0546.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6473323527340484,0.8767808303681048,1.0470899362896313,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/10_0546.webp,ok
day1/members/allie/12_0272.webp,small_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6328263961836699,0.8830831455120962,0.44036753299739034,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/12_0272.webp,ok
day1/members/allie/14_0135.webp,small_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6729402628769166,0.8891047008016274,0.7736770106548189,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/14_0135.webp,ok
day1/members/allie/15_0458.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6794322741173325,0.901132591960543,0.22685115938519357,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/15_0458.webp,ok
day1/members/allie/18_0412.webp,motion_blur_or_low_sharpness,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5981293738315834,0.8715638082607081,0.5002640850200063,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/allie/18_0412.webp,ok
day1/members/onanong/08_0572.webp,medium_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.5888428358222346,0.868510729456492,0.7881956222025999,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/08_0572.webp,ok
day1/members/onanong/08_0611.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6920105675731689,0.904906079997294,0.22685115938519357,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/08_0611.webp,ok
day1/members/onanong/10_0201.webp,small_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6737792050109306,0.8917740633038683,0.6369705478374125,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/10_0201.webp,ok
day1/members/onanong/10_0422.webp,small_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.7058877154834104,0.907204026976387,0.32362658752085594,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/10_0422.webp,ok
day1/members/onanong/11_0119.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/11_0119.webp,ok
day1/members/onanong/14_0049.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6234384874357211,0.8843344559560595,0.22685115938519357,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/14_0049.webp,ok
day1/members/onanong/14_0406.webp,mixed_scale_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5864467997628823,0.8628621148266774,0.7905903694269933,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/14_0406.webp,ok
day1/members/onanong/14_0681.webp,motion_blur_or_low_sharpness,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.5801202072549897,0.8662031946264535,0.9649414784739246,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/14_0681.webp,ok
