protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score
02_egocentric_stress_500,mtcnn,small_face,119,407,329,0.6923935215525647,0.8662613981762918,0.7002457002457002,0.7744565217391304,285,44,122,0,,0.735399975412117
02_egocentric_stress_500,mtcnn,medium_face,150,550,486,0.7611123561912101,0.8683127572016461,0.7672727272727272,0.8146718146718146,422,64,128,0,,0.7892265021153909
02_egocentric_stress_500,mtcnn,large_face,28,61,46,0.6686878244067038,0.8913043478260869,0.6721311475409836,0.7663551401869158,41,5,20,0,,0.717604465730977
02_egocentric_stress_500,mtcnn,mixed_scale_face,45,250,208,0.7375885198132708,0.8990384615384616,0.748,0.8165938864628822,187,21,63,0,,0.7802523177695667
02_egocentric_stress_500,mtcnn,edge_or_partial_face,193,818,674,0.7201331804897719,0.8813056379821959,0.726161369193154,0.7962466487935657,594,80,224,0,,0.7591971159721611
02_egocentric_stress_500,mtcnn,profile_or_occluded_face,206,862,714,0.7232302866381254,0.8809523809523809,0.7296983758700696,0.7982233502538071,629,85,233,0,,0.7619550199742351
02_egocentric_stress_500,mtcnn,downward_egocentric_view,89,1,41,0.0,0.0,0.0,0.0,0,41,1,0,,0.0
02_egocentric_stress_500,mtcnn,motion_blur_or_low_sharpness,94,127,87,0.5749294249127411,0.8505747126436781,0.5826771653543307,0.6915887850467289,74,13,53,0,,0.636694825006365
02_egocentric_stress_500,mtcnn,low_light_or_dim,99,204,169,0.6692969332393602,0.8224852071005917,0.6813725490196079,0.7453083109919572,139,30,65,0,,0.7114677553207935
02_egocentric_stress_500,mtcnn,high_clutter,190,577,554,0.7833179800261109,0.8267148014440433,0.7937608318890814,0.8099027409372237,458,96,119,0,,0.8010917061066132
02_egocentric_stress_500,mtcnn,outdoor_or_vehicle_scene,18,4,12,1.0,0.3333333333333333,1.0,0.5,4,8,0,0,,0.8083333333333333
02_egocentric_stress_500,retinaface_mobilenet,all_images,500,1284,1161,0.8098814439879278,0.9035314384151594,0.8169781931464174,0.858077709611452,1049,112,235,0,,0.8359083967895503
02_egocentric_stress_500,retinaface_mobilenet,multi_face,276,1206,1060,0.8174741776616552,0.9349056603773584,0.8217247097844113,0.8746690203000883,991,69,215,0,,0.8462788824726253
02_egocentric_stress_500,retinaface_mobilenet,single_face,78,78,76,0.7232983517004958,0.7631578947368421,0.7435897435897436,0.7532467532467534,58,18,20,0,,0.7479608111187059
02_egocentric_stress_500,retinaface_mobilenet,no_face,146,0,25,0.0,0.0,0.0,0.0,0,25,0,23,0.8424657534246576,0.8424657534246576
02_egocentric_stress_500,retinaface_mobilenet,very_small_or_distant_face,12,16,15,0.8080357142857143,0.8666666666666667,0.8125,0.8387096774193549,13,2,3,0,,0.8244690860215055
02_egocentric_stress_500,retinaface_mobilenet,small_face,119,407,366,0.8062443882576135,0.9043715846994536,0.8132678132678133,0.8564036222509702,331,35,76,0,,0.8331621426567666
