relative_path,method,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_060,landmark_pair_rate,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status
day4/members/bao/11_0220.webp,riddle,7,0.6816060089787603,0.42420607805252075,0.14162372052669525,0.0,0.7142857142857143,0.0,0.9983293414115906,0.38360192870974347,ok
day4/members/bao/11_0220.webp,falco,7,0.7053904492362638,0.43717333674430847,0.09171400219202042,0.0,0.7142857142857143,0.0,0.9983305335044861,0.38544284972868553,ok
day2/members/klaus/15_0590.webp,riddle,0,,,,,,,0.9986172914505005,,no_face
day2/members/klaus/15_0590.webp,falco,0,,,,,,,0.9986172914505005,,no_face
day1/members/werner/11_0547.webp,riddle,0,,,,,,,0.9995176792144775,,no_face
day1/members/werner/11_0547.webp,falco,0,,,,,,,0.9995176792144775,,no_face
day3/members/klaus/18_0613.webp,riddle,5,0.5717544625411681,0.43228286504745483,-0.05168049782514572,0.0,1.0,0.5252359646435907,0.9977803826332092,0.5152816093507082,ok
day3/members/klaus/18_0613.webp,falco,5,0.5673350731847996,0.47060632705688477,0.17571446299552917,0.0,1.0,0.5320858458729509,0.9976264238357544,0.4991501616065096,ok
day1/members/cathal/10_0708.webp,riddle,5,0.7474713171921743,0.4299033284187317,0.0695340558886528,0.0,0.6,0.2423186327884368,0.998473584651947,0.4472429624555849,ok
day1/members/cathal/10_0708.webp,falco,5,0.7911523728504087,0.4246799349784851,0.07364410161972046,0.0,0.6,0.24374809030515387,0.9985026121139526,0.4655003744088181,ok
day1/members/tien/19_0392.webp,riddle,9,0.7161226131102693,0.43495967984199524,0.20841407775878906,0.0,0.4444444444444444,0.0,0.9972241520881653,0.34982974878484385,ok
day1/members/tien/19_0392.webp,falco,9,0.737684716960141,0.4312858283519745,0.03835245594382286,0.0,0.4444444444444444,0.0,0.9969503879547119,0.3610903797677379,ok
day4/members/luca/11_0464.webp,riddle,6,0.6745280051019994,0.4151670038700104,0.09487917274236679,0.0,0.8333333333333334,0.6747459406559324,0.9977072477340698,0.5782709642799384,ok
day4/members/luca/11_0464.webp,falco,6,0.6712337974198982,0.4332774579524994,0.1726117581129074,0.0,0.8333333333333334,0.6637476989264898,0.9975811839103699,0.5688900564988272,ok
day3/members/allie/10_0655.webp,riddle,0,,,,,,,0.998708188533783,,no_face
day3/members/allie/10_0655.webp,falco,0,,,,,,,0.998708188533783,,no_face
day2/members/allie/13_0179.webp,riddle,0,,,,,,,0.9984399080276489,,no_face
day2/members/allie/13_0179.webp,falco,0,,,,,,,0.9984399080276489,,no_face
day1/members/florian/15_0647.webp,riddle,0,,,,,,,0.9987754821777344,,no_face
day1/members/florian/15_0647.webp,falco,0,,,,,,,0.9987754821777344,,no_face
day2/members/klaus/12_0531.webp,riddle,0,,,,,,,0.9986483454704285,,no_face
day2/members/klaus/12_0531.webp,falco,0,,,,,,,0.9986483454704285,,no_face
day1/members/bjorn/15_0586.webp,riddle,0,,,,,,,0.9987826347351074,,no_face
day1/members/bjorn/15_0586.webp,falco,0,,,,,,,0.9987826347351074,,no_face
day1/members/bjorn/09_0318.webp,riddle,0,,,,,,,0.998784601688385,,no_face
day1/members/bjorn/09_0318.webp,falco,0,,,,,,,0.998784601688385,,no_face
day3/members/allie/12_0148.webp,riddle,3,0.6203334917951271,0.45585712790489197,0.05001981928944588,0.0,0.6666666666666666,0.0,0.9983312487602234,0.3391881786649451,ok
day3/members/allie/12_0148.webp,falco,3,0.5617929045950676,0.5421461462974548,-0.06610691547393799,0.0,0.6666666666666666,0.0,0.9982910752296448,0.29662751660827363,ok
day1/members/klaus/17_0521.webp,riddle,4,0.7005798234840269,0.3772857189178467,0.12040945887565613,0.0,0.5,0.7083637242342877,0.9982290863990784,0.5586510172696386,ok
day1/members/klaus/17_0521.webp,falco,4,0.695321398075945,0.40393292903900146,0.04658368229866028,0.0,0.5,0.714707642362686,0.9981060028076172,0.545513056094773,ok
day2/members/luca/10_0586.webp,riddle,4,0.6412158729883095,0.4198189973831177,0.07724054157733917,0.0,1.0,0.24418716386950212,0.9979819655418396,0.4755628403711444,ok
day2/members/luca/10_0586.webp,falco,4,0.6579512252433015,0.4774637520313263,0.06497961282730103,0.0,1.0,0.25044045769070566,0.9977113604545593,0.45597109953367654,ok
day4/members/onanong/11_0656.webp,riddle,7,0.6792829930254661,0.4418860077857971,0.1098865494132042,0.0,0.7142857142857143,0.037161622673896444,0.9971792101860046,0.3849666695720333,ok
day4/members/onanong/11_0656.webp,falco,7,0.6981393991429513,0.4572974741458893,0.155885249376297,0.0,0.7142857142857143,0.0,0.9970182180404663,0.3763244655000499,ok
day1/members/onanong/17_0468.webp,riddle,1,0.642225079177584,0.380022257566452,0.22359633445739746,0.0,1.0,0.5772261301965068,0.998650312423706,0.5790741814780551,ok
day1/members/onanong/17_0468.webp,falco,1,0.5698927930115981,0.49467703700065613,0.03142179548740387,0.0,1.0,0.6047083884642115,0.9985887408256531,0.5033010561697842,ok
day2/members/werner/14_0229.webp,riddle,1,0.7313364640202048,0.5048744678497314,0.01621195487678051,0.0,0.0,0.0,0.9983343482017517,0.25596776240707164,ok
day2/members/werner/14_0229.webp,falco,1,0.7176270980087033,0.5076393485069275,0.013434060849249363,0.0,0.0,0.0,0.9983161687850952,0.25116948430304614,ok
day3/members/allie/18_0514.webp,riddle,5,0.5518984174326219,0.4230753779411316,0.03294055536389351,0.0,1.0,0.019547018763750423,0.9978106021881104,0.3875114500375221,ok
day3/members/allie/18_0514.webp,falco,5,0.5231946595811893,0.4837987422943115,0.2263370007276535,0.2,1.0,0.016082056675514433,0.9975546598434448,0.35272914604016337,ok
day1/members/bjorn/10_0130.webp,riddle,5,0.6949934332581968,0.40297967195510864,0.18626755475997925,0.0,0.4,0.024471841466006228,0.9982683658599854,0.35787583347989677,ok
day1/members/bjorn/10_0130.webp,falco,5,0.6649044818376063,0.45874208211898804,0.06476783752441406,0.0,0.4,0.0,0.9982383847236633,0.3133455089572167,ok
day2/members/onanong/16_0470.webp,riddle,0,,,,,,,0.9989475607872009,,no_face
day2/members/onanong/16_0470.webp,falco,0,,,,,,,0.9989475607872009,,no_face
day2/members/werner/20_0620.webp,riddle,0,,,,,,,0.9986249208450317,,no_face
day2/members/werner/20_0620.webp,falco,0,,,,,,,0.9986249208450317,,no_face
day4/members/bjorn/08_0126.webp,riddle,0,,,,,,,0.9990738034248352,,no_face
day4/members/bjorn/08_0126.webp,falco,0,,,,,,,0.9990738034248352,,no_face
day1/members/allie/10_0296.webp,riddle,4,0.714648779652222,0.42699918150901794,0.17526093125343323,0.0,0.75,0.0,0.9984025955200195,0.3991274895743493,ok
day1/members/allie/10_0296.webp,falco,4,0.7072225884375101,0.4613342583179474,0.20782354474067688,0.0,0.75,0.0,0.99835205078125,0.39083987886925475,ok
day1/members/tien/08_0310.webp,riddle,3,0.6818345528434445,0.38316646218299866,0.13637490570545197,0.0,0.6666666666666666,0.0,0.9991137981414795,0.39705886240370625,ok
day1/members/tien/08_0310.webp,falco,3,0.6947898095989228,0.40176379680633545,0.1930909901857376,0.0,0.6666666666666666,0.0,0.9991170763969421,0.3922945386817455,ok
day1/members/florian/18_0375.webp,riddle,0,,,,,,,0.9986501336097717,,no_face
day1/members/florian/18_0375.webp,falco,0,,,,,,,0.9986501336097717,,no_face
day1/members/bjorn/14_0017.webp,riddle,0,,,,,,,0.9986375570297241,,no_face
day1/members/bjorn/14_0017.webp,falco,0,,,,,,,0.9986375570297241,,no_face
day4/members/luca/18_0521.webp,riddle,0,,,,,,,0.9988585114479065,,no_face
day4/members/luca/18_0521.webp,falco,0,,,,,,,0.9988585114479065,,no_face
day3/members/onanong/12_0488.webp,riddle,1,0.39203018400087714,0.5691425204277039,-0.07811923325061798,0.0,1.0,0.0,0.998473584651947,0.287210564400307,ok
day3/members/onanong/12_0488.webp,falco,1,0.30560534454995353,0.6249855756759644,0.3786270320415497,0.0,1.0,0.0,0.9984520673751831,0.2569618705924837,ok
day1/members/allie/10_0546.webp,riddle,7,0.7271976658807339,0.4098280370235443,0.11884663254022598,0.0,0.8571428571428571,0.04203248102018409,0.9982553720474243,0.43868469847179803,ok
day1/members/allie/10_0546.webp,falco,7,0.7444706433189392,0.4321961998939514,0.1352146863937378,0.0,0.8571428571428571,0.0,0.9982128739356995,0.4275804753356402,ok
day2/members/luca/20_0211.webp,riddle,4,0.7603964874934729,0.3496010899543762,0.06604240089654922,0.0,0.75,0.0,0.9983586072921753,0.4538382107443662,ok
day2/members/luca/20_0211.webp,falco,4,0.7942019444215895,0.37557393312454224,0.147537499666214,0.0,0.75,0.0,0.9982750415802002,0.4526837139852852,ok
day4/members/allie/11_0376.webp,riddle,5,0.6508644818109995,0.41859012842178345,0.03465207666158676,0.0,0.8,0.3520938639886483,0.9981123208999634,0.47653097042012016,ok
day4/members/allie/11_0376.webp,falco,5,0.6445559544826264,0.44543662667274475,0.07897250354290009,0.0,0.8,0.3100171761055751,0.9980691075325012,0.45038057407216636,ok
day1/members/klaus/09_0268.webp,riddle,7,0.6625874440155117,0.4172537624835968,0.10785609483718872,0.0,1.0,0.18379033923187216,0.9978171586990356,0.47012984088058773,ok
day1/members/klaus/09_0268.webp,falco,7,0.6578606198229398,0.4732982814311981,0.11539773643016815,0.0,1.0,0.08700038267512877,0.9977127313613892,0.4250707576506133,ok
day1/members/tien/15_0093.webp,riddle,5,0.6306256537999116,0.41090503334999084,0.003780366387218237,0.0,0.8,0.22013467910431794,0.9979775547981262,0.44090266783450693,ok
day1/members/tien/15_0093.webp,falco,5,0.6350357730964662,0.472663938999176,0.18238626420497894,0.0,0.8,0.11316864233324164,0.997869074344635,0.39141931314773115,ok
day3/members/florian/19_0282.webp,riddle,0,,,,,,,0.9985288381576538,,no_face
day3/members/florian/19_0282.webp,falco,0,,,,,,,0.9985288381576538,,no_face
day4/members/bjorn/12_0570.webp,riddle,1,0.5462066653644495,0.5313909649848938,-0.017575398087501526,0.0,1.0,0.0,0.9975259304046631,0.3411723328775573,ok
day4/members/bjorn/12_0570.webp,falco,1,0.5675078464022142,0.5217044353485107,-0.09148779511451721,0.0,1.0,0.0,0.9972416758537292,0.34862774624077497,ok
day1/members/cathal/15_0298.webp,riddle,4,0.5574932966609139,0.39885610342025757,0.03460016846656799,0.0,1.0,0.6130361780629299,0.997410237789154,0.5489536540875041,ok
day1/members/cathal/15_0298.webp,falco,4,0.5338170738227589,0.43479931354522705,0.2105037122964859,0.0,1.0,0.5998072077625829,0.9972348809242249,0.5193881210059978,ok
day4/members/cathal/17_0524.webp,riddle,0,,,,,,,0.9986966848373413,,no_face
day4/members/cathal/17_0524.webp,falco,0,,,,,,,0.9986966848373413,,no_face
day4/members/luca/14_0018.webp,riddle,6,0.6466130557151399,0.40855491161346436,-0.105876125395298,0.0,1.0,0.2925801945587563,0.9980185031890869,0.49518214370680436,ok
day4/members/luca/14_0018.webp,falco,6,0.6320418035635352,0.48422613739967346,0.2687319815158844,0.0,1.0,0.19886493959797313,0.9976598024368286,0.4364296533114187,ok
day1/members/bjorn/10_0501.webp,riddle,7,0.6987601172235995,0.42130327224731445,0.09805675595998764,0.0,0.5714285714285714,0.47065064185091543,0.9978103637695312,0.4880099186019972,ok
day1/members/bjorn/10_0501.webp,falco,7,0.6794993508816282,0.43845412135124207,0.19137488305568695,0.0,0.5714285714285714,0.48522980536903926,0.9977062940597534,0.47780070724208185,ok
day1/members/allie/15_0458.webp,riddle,1,0.6649002494283796,0.4646153748035431,-0.0064531415700912476,0.0,1.0,0.5981492553847637,0.9979658126831055,0.5499447137443523,ok
day1/members/allie/15_0458.webp,falco,1,0.6507988608668039,0.48344510793685913,0.09507709741592407,0.0,1.0,0.6515757165689825,0.997719943523407,0.5489509764771975,ok
day4/members/klaus/14_0224.webp,riddle,9,0.6187120866801226,0.47048419713974,0.12069235742092133,0.0,0.7777777777777778,0.0,0.9977700114250183,0.35505531824718506,ok
day4/members/klaus/14_0224.webp,falco,9,0.5793688117830778,0.516090989112854,0.13295571506023407,0.0,0.8888888888888888,0.0,0.9975746273994446,0.3466795526349632,ok
day1/members/stevan/11_0011.webp,riddle,6,0.6781411855094169,0.40241289138793945,0.14585068821907043,0.0,0.8333333333333334,0.4103169418740207,0.9986106157302856,0.5137222047028314,ok
day1/members/stevan/11_0011.webp,falco,6,0.6884962021371258,0.43588265776634216,0.2276439070701599,0.0,0.8333333333333334,0.3190747527755643,0.9986076354980469,0.4778010412345849,ok
day1/members/cathal/13_0040.webp,riddle,1,0.4138233521034644,0.6356204152107239,-0.38146108388900757,0.0,0.0,0.0,0.991751492023468,0.14483817323621254,ok
