relative_path,method,output_path,status,box_count,runtime_seconds,SSIM,LPIPS,AdaFace_cosine_mean,AdaFace_reid_rate,ArcFace_cosine_mean,ArcFace_reid_rate,success,runtime_for_score,privacy_residual_rate,privacy_score,lpips_utility_score,utility_score,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_060,landmark_pair_rate,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status,privacy_score_three_attacker,enhanced_success_score,enhanced_utility_score,runtime_score_constrained,runtime_score_high_compute,enhanced_balanced_score,enhanced_high_compute_score
day4/members/klaus/13_0393.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/klaus/13_0393.webp,ok,8,0.9339275638122748,0.9745192077032202,0.023897210136055946,0.07192908448632807,0.0,0.032603175030089915,0.0,1.0,0.9339275638122748,0.0,1.0,0.5220557972788811,0.7482875024910507,8,0.6251228980441166,0.4312862753868103,0.1037693247199058,0.0,0.875,0.0,0.9979414343833924,0.3851445994056012,ok,1.0,1.0,0.5916814441375602,0.8296216605616706,0.8685437201625318,0.8604665992974351,0.8505156914562726
day4/members/klaus/13_0503.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/klaus/13_0503.webp,ok,6,0.7937395411789495,0.9776657979184523,0.018611086532473564,0.2065926684687535,0.0,0.2331737376128634,0.0,1.0,0.7937395411789495,0.0,1.0,0.6277782693505287,0.8027220336344905,6,0.6582775855171301,0.4221205711364746,0.0438388399779796,0.0,0.6666666666666666,0.316886436779371,0.9978781342506408,0.4503716183240557,ok,1.0,1.0,0.6460624360408881,0.8532114194324757,0.8835419612197488,0.879139872755514,0.8702989506752983
day4/members/klaus/14_0224.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/klaus/14_0224.webp,ok,9,1.2303581653566569,0.9731736359403982,0.03000454045832157,0.09495801023311085,0.0,0.11312761240535313,0.0,1.0,1.2303581653566569,0.0,1.0,0.3999091908335686,0.6865414133869834,9,0.6187120866801226,0.47048419713974,0.1206923574209213,0.0,0.7777777777777778,0.0,0.9977700114250184,0.355055318247185,ok,1.0,1.0,0.5519212256208877,0.7818662154410533,0.8401201027383701,0.8437629892303716,0.8351784341042292
day4/members/klaus/14_0702.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/klaus/14_0702.webp,copied_no_face,0,0.1167409454765343,0.9932192162734187,0.01191683579236269,,,,,1.0,0.1167409454765343,0.0,1.0,0.7616632841527462,0.8774412502130824,0,,,,,,,0.9990963339805604,,no_face,1.0,1.0,0.8774412502130824,0.9769222708658241,0.9779931403300185,0.9609246021505071,0.9560040945910797
day4/members/luca/08_0034.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/luca/08_0034.webp,copied_no_face,0,0.1322899235298249,0.9925061944102423,0.009212614968419075,,,,,1.0,0.1322899235298249,0.0,1.0,0.8157477006316185,0.9041269475209304,0,,,,,,,0.9990222454071044,,no_face,1.0,1.0,0.9041269475209304,0.9738889612070138,0.9752371669067328,0.9686269803769806,0.9652062899776622
day4/members/luca/08_0054.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/luca/08_0054.webp,ok,2,0.2334818909530686,0.9883292658178271,0.010306437499821186,0.09890606626868248,0.0,0.07361714355647564,0.0,1.0,0.2334818909530686,0.0,1.0,0.7938712500035763,0.8911002579107017,2,0.6386612229314597,0.4719676971435547,-0.0410990044474601,0.0,1.0,0.0,0.9986878633499146,0.3999162957537673,ok,1.0,1.0,0.6562670373761559,0.9543771233136387,0.9581763460127001,0.8923178235442106,0.8776022803822895
day4/members/luca/10_0077.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/luca/10_0077.webp,ok,1,0.1367064628174062,0.9821181564987791,0.018540335819125175,0.2535519301891327,0.0,0.013024372048676014,0.0,1.0,0.1367064628174062,0.0,1.0,0.6291932836174965,0.8056557200581378,1,0.5386590763081917,0.5378238558769226,0.1544427126646042,0.0,1.0,0.0,0.9979826807975768,0.3385306767078671,ok,1.0,1.0,0.5913258944569464,0.9730290972534326,0.9744612583993145,0.8747006780624271,0.8556871259798969
day4/members/luca/10_0115.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/luca/10_0115.webp,ok,1,0.1367064628174062,0.980171841987922,0.021069113165140152,0.24749337136745453,0.0,0.1397891342639923,0.0,1.0,0.1367064628174062,0.0,1.0,0.578617736697197,0.7793947893425595,1,0.5551673599305241,0.4324139654636383,0.0647292733192443,0.0,1.0,0.3153688825261944,0.997838020324707,0.4569438138754129,ok,1.0,1.0,0.640013624707201,0.9730290972534326,0.9744612583993145,0.8893069971375035,0.8727278315674861
day4/members/luca/11_0464.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/luca/11_0464.webp,ok,6,0.8202387769044378,0.9758455393564591,0.025257937610149384,0.07859525394936402,0.0,0.12190988380461931,0.0,1.0,0.8202387769044378,0.0,1.0,0.49484124779701233,0.7353433935767357,6,0.6745280051019994,0.4151670038700104,0.0948791727423667,0.0,0.8333333333333334,0.6747459406559324,0.9977072477340698,0.5782709642799384,ok,1.0,1.0,0.6830435643440704,0.8487014908494717,0.8806190389881013,0.8897832183881682,0.8830961994698298
day4/members/luca/11_0578.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/luca/11_0578.webp,ok,6,0.8202387769044378,0.9810695515961978,0.018834834918379784,0.10764679871499538,0.0,0.042777812108397484,0.0,1.0,0.8202387769044378,0.0,1.0,0.6233033016324043,0.8021864266143011,6,0.7100952675700244,0.4003864526748657,0.0155324190855026,0.0,0.8333333333333334,0.5956271642682096,0.9982807636260986,0.5722469046538378,ok,1.0,1.0,0.7068260993352491,0.8487014908494717,0.8806190389881013,0.8969179788855218,0.8914200867167422
day4/members/luca/14_0018.webp,riddle,outputs/03_anonymisation/12_riddle/images/day4/members/luca/14_0018.webp,ok,6,0.8202387769044378,0.9779314609588919,0.02141326665878296,0.05183137425531944,0.0,0.05707142626245817,0.0,1.0,0.8202387769044378,0.0,1.0,0.5717346668243408,0.7748330638916163,6,0.6466130557151399,0.4085549116134643,-0.105876125395298,0.0,1.0,0.2925801945587563,0.9980185031890868,0.4951821437068043,ok,1.0,1.0,0.6573261477289574,0.8487014908494717,0.8806190389881013,0.8820679934036344,0.8740951036545401
