egocentric_relative_path,file_name_ego,file_ext_ego,file_size_bytes_ego,checksum_sha256_ego,image_width_ego,image_height_ego,egocentric_stream_id,view_type_ego,egocentric_participant_id,day_or_session_id_ego,read_status_ego,integrity_status_ego,day_id,timestamp_id,exocentric_relative_path,file_name_exo,file_ext_exo,file_size_bytes_exo,checksum_sha256_exo,image_width_exo,image_height_exo,exocentric_stream_id,view_type_exo,participant_id,day_or_session_id_exo,read_status_exo,integrity_status_exo,pair_id,ego_face_count_seed,exo_face_count_seed,ego_face_count,exo_face_count,evaluated,skip_reason,original_max_cross_view_cosine,blur_max_cross_view_cosine,pixelate_max_cross_view_cosine,control_original_max_cross_view_cosine,control_blur_max_cross_view_cosine,control_pixelate_max_cross_view_cosine,original_gap_vs_control,blur_gap_vs_control,pixelate_gap_vs_control
day1/members/tien/14_0511.webp,14_0511.webp,webp,189954,9bb9e5402d09bfe4c579f46821af2237cbb9714c5d81113237af6814e4858aee,3840,2160,tien,egocentric,tien,day1,ok,valid,day1,14_0511,day1/fixed/living2/14_0511.webp,14_0511.webp,webp,333364,2e0d90febb187c71689fc33d08198ae3a120fee34c337e8bd12a158ca652d545,3840,2160,living2,exocentric,,day1,ok,valid,day1::14_0511::tien::living2,6,2,6,2,True,,0.4419683814048767,0.41569072008132935,0.5497305989265442,0.37505078315734863,0.3679085075855255,0.34957730770111084,0.06691759824752808,0.04778221249580383,0.20015329122543335
day1/members/florian/15_0404.webp,15_0404.webp,webp,264878,f6a96edc7ad241586d484ec0554da0b6e69ab438656c6ac2111c527a3b424f14,3840,2160,florian,egocentric,florian,day1,ok,valid,day1,15_0404,day1/fixed/living2/15_0404.webp,15_0404.webp,webp,321896,52117efa41e311d1b80755a0903a6f6d4feb2c423b538372ee2d633e15bbcc4b,3840,2160,living2,exocentric,,day1,ok,valid,day1::15_0404::florian::living2,3,2,3,2,True,,0.34603002667427063,0.5354392528533936,0.3466864228248596,0.37505078315734863,0.3679085075855255,0.34957730770111084,-0.029020756483078003,0.16753074526786804,-0.0028908848762512207
day1/members/stevan/17_0277.webp,17_0277.webp,webp,103884,082ec04c08602b6bd3eb9b4fe197fd1877b228d48afc89165efd87a46d79fe24,3840,2160,stevan,egocentric,stevan,day1,ok,valid,day1,17_0277,day1/fixed/living2/17_0277.webp,17_0277.webp,webp,251350,90262ff894ddd318c6cd006372bcd9dcb0210795245b90acde07ffae98c02545,3840,2160,living2,exocentric,,day1,ok,valid,day1::17_0277::stevan::living2,2,2,2,2,True,,0.38166242837905884,0.17163148522377014,0.39161235094070435,0.37505078315734863,0.3679085075855255,0.34957730770111084,0.006611645221710205,-0.19627702236175537,0.042035043239593506
day1/members/klaus/17_0393.webp,17_0393.webp,webp,216004,e015b773b07de7048aa147ec8ae252af7eea43bf58f1e0836ba2004088fe0419,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,17_0393,day1/fixed/living2/17_0393.webp,17_0393.webp,webp,252874,5ff00f28e5e3d1cdfff176db53a77bbcb9e500524c65e57db047718ffa26c41f,3840,2160,living2,exocentric,,day1,ok,valid,day1::17_0393::klaus::living2,2,1,2,1,True,,0.17037677764892578,0.343688428401947,0.19733065366744995,0.37505078315734863,0.3679085075855255,0.34957730770111084,-0.20467400550842285,-0.02422007918357849,-0.1522466540336609
day1/members/tien/19_0125.webp,19_0125.webp,webp,168144,10530840989e89313b95164afc37bf164a48f5f2f3a2f26e0f8399338b07dcaa,3840,2160,tien,egocentric,tien,day1,ok,valid,day1,19_0125,day1/fixed/living2/19_0125.webp,19_0125.webp,webp,251036,2bcf2c1ea5ae8a160d7416a72660d3ad89f10828f3001cc98ee3d127b2b3e796,3840,2160,living2,exocentric,,day1,ok,valid,day1::19_0125::tien::living2,2,2,2,2,True,,0.43326783180236816,0.35935336351394653,0.4172947406768799,0.37505078315734863,0.3679085075855255,0.34957730770111084,0.05821704864501953,-0.00855514407157898,0.06771743297576904
day1/members/onanong/08_0496.webp,08_0496.webp,webp,267592,7559191a1ef49a8800cce1d2341b600f10af68147ca9625f6e86b14c29f9b0ac,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,08_0496,day1/fixed/meeting/08_0496.webp,08_0496.webp,webp,265686,90a5c848ff367b1ff3d10f964a4daac991e4d2c23f3f6ce7a8cb38cfe62d52a8,3840,2160,meeting,exocentric,,day1,ok,valid,day1::08_0496::onanong::meeting,2,3,2,3,True,,0.5292576551437378,0.3861218988895416,0.5896601676940918,0.2512393891811371,0.20859399437904358,0.3936617970466614,0.2780182659626007,0.17752790451049805,0.19599837064743042
day1/members/werner/09_0425.webp,09_0425.webp,webp,299830,55ce3143edf07eeaf4956c7216c770680056443104b5d6f88080ddff0bf1df5d,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,09_0425,day1/fixed/meeting/09_0425.webp,09_0425.webp,webp,264416,108842abe3e8ca20fa7d190df2c41227d7cf5fc1c839f18f3e79f0b346d17795,3840,2160,meeting,exocentric,,day1,ok,valid,day1::09_0425::werner::meeting,1,2,1,2,True,,0.2512393891811371,0.20859399437904358,0.3936617970466614,0.5292576551437378,0.3861218988895416,0.5896601676940918,-0.2780182659626007,-0.17752790451049805,-0.19599837064743042
day1/members/florian/11_0048.webp,11_0048.webp,webp,188056,b00744ca178f7ee1933d1d6ce0b13812715dce097ab09a9edfbbf81fbe1f23c3,3840,2160,florian,egocentric,florian,day1,ok,valid,day1,11_0048,day1/fixed/meeting/11_0048.webp,11_0048.webp,webp,307418,0cd02e565511ebbfddcea6f2f5e389700d96129cf438447bc450bcd65d1aa129,3840,2160,meeting,exocentric,,day1,ok,valid,day1::11_0048::florian::meeting,5,12,5,12,True,,0.4769861698150635,0.4477088451385498,0.6331866979598999,0.5292576551437378,0.3861218988895416,0.5896601676940918,-0.052271485328674316,0.06158694624900818,0.043526530265808105
day1/members/onanong/14_0637.webp,14_0637.webp,webp,290808,81bbf5de9221bf58ff03a81866f14dbe84ed48005b79ae678ebae7efecf5ef5f,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,14_0637,day1/fixed/meeting/14_0637.webp,14_0637.webp,webp,274142,696a74e273ab35dbfa73d54b6c97c9f0208bc38519202ed6882562d95c6e00c0,3840,2160,meeting,exocentric,,day1,ok,valid,day1::14_0637::onanong::meeting,3,3,3,3,True,,0.1800159513950348,0.3598487377166748,0.30879145860671997,0.5292576551437378,0.3861218988895416,0.5896601676940918,-0.349241703748703,-0.02627316117286682,-0.2808687090873718
day1/members/florian/18_0019.webp,18_0019.webp,webp,173886,aabcac34e6b951f52e5ace904bdfe6882e4dae009876061f931006030c55b213,3840,2160,florian,egocentric,florian,day1,ok,valid,day1,18_0019,day1/fixed/meeting/18_0019.webp,18_0019.webp,webp,242496,17c3a19570fa12493a0cec3e5ea24d7dc21e23837740dd04ab713aa10bcb8151,3840,2160,meeting,exocentric,,day1,ok,valid,day1::18_0019::florian::meeting,5,2,5,2,True,,0.25324344635009766,0.47704657912254333,0.4523824155330658,0.5292576551437378,0.3861218988895416,0.5896601676940918,-0.27601420879364014,0.09092468023300171,-0.137277752161026
day1/members/cathal/18_0020.webp,18_0020.webp,webp,308162,4c0ffc375d4b8d342717700208c29c3163dc3ce0ae670f86c92fa6e28954ab39,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,18_0020,day1/fixed/meeting/18_0020.webp,18_0020.webp,webp,243196,6145a5faedc0277960d8edafdc76d63ee2447b6e12bae0347f26da07efe5c942,3840,2160,meeting,exocentric,,day1,ok,valid,day1::18_0020::cathal::meeting,1,1,1,1,True,,0.08277778327465057,0.3289228677749634,0.13014501333236694,0.5292576551437378,0.3861218988895416,0.5896601676940918,-0.4464798718690872,-0.05719903111457825,-0.45951515436172485
day1/members/werner/19_0415.webp,19_0415.webp,webp,292790,8ce96d7b6a227e58ef54154ff0a64ff6cc4d8958ba2825c8dac6317b94f33efc,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,19_0415,day1/fixed/meeting/19_0415.webp,19_0415.webp,webp,246056,8ca386dd63f946d906f4a3d7498d6e242ad7b0de8540706cd92cfd5294824be2,3840,2160,meeting,exocentric,,day1,ok,valid,day1::19_0415::werner::meeting,5,6,5,6,True,,0.2828492820262909,0.47228455543518066,0.40045255422592163,0.5292576551437378,0.3861218988895416,0.5896601676940918,-0.2464083731174469,0.08616265654563904,-0.18920761346817017
day1/members/cathal/12_0631.webp,12_0631.webp,webp,215064,4a82d16136344a195ca036fe49b61fa204987567a7f341a39c5f606e447ea8ea,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,12_0631,day1/fixed/reading/12_0631.webp,12_0631.webp,webp,163664,cd5f9d2e68d0379266bfd863d1d78e2dd2e441429490a1fb35bb7e455221b4e3,3840,2160,reading,exocentric,,day1,ok,valid,day1::12_0631::cathal::reading,2,1,2,1,True,,0.339047372341156,0.10430383682250977,0.20111317932605743,0.2875959575176239,0.24275872111320496,0.5442649126052856,0.051451414823532104,-0.1384548842906952,-0.3431517332792282
day1/members/onanong/18_0186.webp,18_0186.webp,webp,181334,7454261e23992a1e4576ab7c1c190f310daca2d71b7e100181670584e0b317b3,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,18_0186,day1/fixed/reading/18_0186.webp,18_0186.webp,webp,157648,d7917397dc23bb0855b5fb402f6518f52486fa826554388f108206331f153d1a,3840,2160,reading,exocentric,,day1,ok,valid,day1::18_0186::onanong::reading,4,1,4,1,True,,0.2875959575176239,0.24275872111320496,0.5442649126052856,0.339047372341156,0.10430383682250977,0.20111317932605743,-0.051451414823532104,0.1384548842906952,0.3431517332792282
day1/members/cathal/18_0442.webp,18_0442.webp,webp,198522,e20ae6fb91f1090ead4681d6e9f0375335119e604f9f8d98ad62fbe7ac519f47,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,18_0442,day1/fixed/reading/18_0442.webp,18_0442.webp,webp,159184,bf46722721edce4a67453e67bb37968ae120a5f983fa5e67d4dd4b4385f4c26d,3840,2160,reading,exocentric,,day1,ok,valid,day1::18_0442::cathal::reading,2,1,2,1,True,,0.3945791721343994,0.4887327253818512,0.43786364793777466,0.339047372341156,0.10430383682250977,0.20111317932605743,0.05553179979324341,0.38442888855934143,0.23675046861171722
day2/members/klaus/12_0576.webp,12_0576.webp,webp,249656,be562745ff9857297e58f1a49d0473bd07d6cdabe298438cd493f93f47c14bad,3840,2160,klaus,egocentric,klaus,day2,ok,valid,day2,12_0576,day2/fixed/kitchen/12_0576.webp,12_0576.webp,webp,268692,febfbe8ba50f62ade06ac45fdfc05d5fc8ea50064dc35ac0cd481ccfdcecbd64,3840,2160,kitchen,exocentric,,day2,ok,valid,day2::12_0576::klaus::kitchen,1,2,1,2,True,,0.49434199929237366,0.4345461130142212,0.5188764929771423,0.535671591758728,0.3585253357887268,0.5471152067184448,-0.04132959246635437,0.07602077722549438,-0.02823871374130249
day2/members/werner/16_0532.webp,16_0532.webp,webp,239078,3e79779966da7c12f8f9acc2f8d2afd49b24423dd259e18b5fc9c585aa5ba1a9,3840,2160,werner,egocentric,werner,day2,ok,valid,day2,16_0532,day2/fixed/kitchen/16_0532.webp,16_0532.webp,webp,265574,804fcf52b2fe227ffe290a0bea6d3bf9634b658f3644ffbc8eafdb1d75b0f672,3840,2160,kitchen,exocentric,,day2,ok,valid,day2::16_0532::werner::kitchen,3,6,3,6,True,,0.535671591758728,0.3585253357887268,0.5471152067184448,0.49434199929237366,0.4345461130142212,0.5188764929771423,0.04132959246635437,-0.07602077722549438,0.02823871374130249
day2/members/werner/18_0131.webp,18_0131.webp,webp,402004,3bf3e00939bbec5194519d30671fe5d26bc803406b21c0de8cd2efbcd62a6aa7,3840,2160,werner,egocentric,werner,day2,ok,valid,day2,18_0131,day2/fixed/kitchen/18_0131.webp,18_0131.webp,webp,269858,542032a36cb74c2eb61bf92e167d784e520caa1638c7dcd8ef777af00833e99e,3840,2160,kitchen,exocentric,,day2,ok,valid,day2::18_0131::werner::kitchen,1,4,1,4,True,,0.49577534198760986,0.2500856816768646,0.4885656237602234,0.49434199929237366,0.4345461130142212,0.5188764929771423,0.001433342695236206,-0.18446043133735657,-0.030310869216918945
day2/members/cathal/18_0473.webp,18_0473.webp,webp,240204,94dd34ae4ba0fe2bf7958242bf6be5d25cbaac626adb19c0d41d8c8cfd0d57c2,3840,2160,cathal,egocentric,cathal,day2,ok,valid,day2,18_0473,day2/fixed/kitchen/18_0473.webp,18_0473.webp,webp,284116,d4ea9c48f4f22d6f01f27ba1452fbc5fec71c000eac671c6398b782e085f002b,3840,2160,kitchen,exocentric,,day2,ok,valid,day2::18_0473::cathal::kitchen,3,1,3,1,True,,0.4844120740890503,0.5487689971923828,0.26164889335632324,0.49434199929237366,0.4345461130142212,0.5188764929771423,-0.009929925203323364,0.11422288417816162,-0.2572275996208191
day2/members/luca/19_0715.webp,19_0715.webp,webp,289080,fe904273c908d08f94284d5f849ea9a0c38262c21a986c43d03ce776f6aa8d21,3840,2160,luca,egocentric,luca,day2,ok,valid,day2,19_0715,day2/fixed/kitchen/19_0715.webp,19_0715.webp,webp,267784,35a82ff376423a6fa4487d0a1dab1bf7b7c9a26b358335db97df0f0a957e7322,3840,2160,kitchen,exocentric,,day2,ok,valid,day2::19_0715::luca::kitchen,5,1,5,1,True,,0.1507786214351654,0.32727670669555664,0.48159900307655334,0.49434199929237366,0.4345461130142212,0.5188764929771423,-0.34356337785720825,-0.10726940631866455,-0.03727748990058899
