split,policy,n_images,privacy_score,utility_score,runtime_score,success_score,multimodal_anonymisation_score,SSIM,LPIPS,non_sensitive_change_fraction,runtime_seconds,adaptive_minus_fixed_mean,difference_ci_low,difference_ci_high,adaptive_win_count,fixed_win_count,tie_count
all,fixed_text_pixelate_screen_pixelate,250,0.5314848007446785,0.8391691439916247,0.9874049241644097,1.0,0.7162336359862677,0.9860930182875743,0.01618980247776922,0.018335317356310596,3.1487689588975507,0.1170803990890386,0.09769020187853757,0.13657339651907474,170,80,0
all,fixed_text_pixelate_screen_blur,250,0.5845131471070177,0.7312449689766326,0.9771845533190644,1.0,0.7093485195784051,0.9705134596817006,0.04846448825037074,0.026137576700485655,5.70386167023388,0.12396551549690117,0.10554289838094376,0.14242151067160402,174,76,0
all,fixed_text_blur_screen_blur,250,0.5860300295743737,0.7196922293857722,0.9761164851083304,1.0,0.7065343321137516,0.9698850962873706,0.05047221009952042,0.02683200249000992,5.970878722917394,0.12677970296155475,0.10877355230326385,0.14479040609705554,213,37,0
all,fixed_text_fill_screen_blur,250,0.5996651891006552,0.6728133521434582,0.9767913215035223,1.0,0.6993557323437173,0.961931984385608,0.05951984670804811,0.0299929651296678,5.8021696241194025,0.13395830273158896,0.11533691392075776,0.1525879219401744,216,34,0
test,adaptive_multimodal_policy,75,0.8679548827101864,0.6633512044632398,0.9911064776394536,1.0,0.8320934504580105,0.9122182644430971,0.07971164299873633,0.04091808694185122,0.6670141770409804,0.0,0.0,0.0,0,0,75
test,fixed_text_blur_screen_fill,75,0.8679548827101864,0.6633512044632399,0.9888487967856538,1.0,0.8318676823726304,0.9122182644430973,0.07971164299873633,0.040918086941851214,0.8363402410759555,0.00022576808537997297,0.0001456758298922111,0.0003101626064941291,25,2,48
test,fixed_text_fill_screen_fill,75,0.8861180830464961,0.6260060175613547,0.9894883771875175,1.0,0.829809684510406,0.9062537250630031,0.08679128520190714,0.04375240073225984,0.7883717109361855,0.002283765947604331,-0.004866118206733844,0.008600884212591883,59,16,0
test,fixed_text_blur_screen_area_aware_t15,75,0.8196851909243635,0.672356303429543,0.9831594667068081,1.0,0.8098654331617254,0.9302284623757034,0.06798486474979049,0.036718415901938556,1.2630399969893915,0.022228017296285044,0.011622431702485912,0.033917742636995485,43,32,0
test,fixed_text_fill_screen_area_aware_t15,75,0.8378483912606732,0.6350100184218018,0.9835441483465547,1.0,0.8077816159915325,0.9242617267838972,0.07510678800443808,0.03955272969234719,1.234188874008396,0.024311834466477902,0.011642799295168978,0.037219793258743875,61,14,0
test,fixed_text_blur_screen_area_aware_t10,75,0.8105715077108595,0.6738208562337134,0.98172513248006,1.0,0.8056045239735498,0.9331575679840441,0.06610974852073316,0.03579664554601012,1.3706150639955013,0.026488926484460766,0.014485273558802553,0.039475215416390416,40,23,12
test,fixed_text_blur_screen_area_aware_t08,75,0.806464561486031,0.6746035597362967,0.9806851724534742,1.0,0.8036818659092521,0.9337917370531911,0.06571399841535215,0.03572964492118177,1.4486120659894368,0.028411584548758532,0.016259341311253506,0.04140188883651846,50,25,0
test,fixed_text_fill_screen_area_aware_t10,75,0.8287347080471691,0.6364745712259722,0.9822841698664221,1.0,0.8035381423780185,0.927190832392238,0.0732339087376992,0.03863095933641875,1.3286872600183415,0.028555308079992063,0.014605260290514272,0.04275800853317987,60,15,0
test,fixed_text_fill_screen_area_aware_t08,75,0.8246277618223407,0.6372572747285556,0.9817442305464161,1.0,0.8016654863843787,0.927825001461385,0.07283811174333095,0.0385639587115904,1.3691827090187871,0.03042796407363186,0.01637258417129061,0.044759744691300896,61,14,0
test,fixed_text_blur_screen_area_aware_t05,75,0.786857377355066,0.6780056686438891,0.9797832976264665,1.0,0.7948087190333465,0.9367752486598291,0.06402205426323539,0.034618429117799894,1.5162526780150074,0.03728473142466406,0.02448441868679827,0.05085993266891045,55,20,0
test,fixed_text_fill_screen_area_aware_t05,75,0.8050205776913757,0.639227802258165,0.9805962253865922,1.0,0.7923382520617966,0.9308085130680229,0.07114259836574395,0.03745274290820853,1.4552830960055871,0.039755198396213956,0.024813033923693918,0.05442643056847047,61,14,0
test,fixed_text_pixelate_screen_pixelate,75,0.524903643921077,0.8504486777010409,0.9876493226944392,1.0,0.7163513575402947,0.9869052687220968,0.015031414278782866,0.01620568032854562,0.9263007979170617,0.11574209291771581,0.0827806626771211,0.1491777467782814,53,22,0
test,fixed_text_pixelate_screen_blur,75,0.5771154678236595,0.7239640834009937,0.9776631541732543,1.0,0.7035132743494533,0.9716802012823605,0.04644341058408217,0.02380128478414566,1.6752634370059205,0.12858017610855726,0.0967840897936374,0.16149723862488732,55,20,0
