modality,variant,split,runtime_seconds_full_250,image_count,ground_truth_region_count,predicted_region_count,tp,fp,fn,precision,recall,f1,f2,strict_iou50_precision,strict_iou50_recall,strict_iou50_f1,mean_ground_truth_area_coverage,mean_prediction_purity,image_tp,image_fp,image_fn,image_tn,image_precision,image_recall,image_f1,oapr_multimodal_score
screen,yolo11n_coco_1280_conf010,test,24.243332681999163,75,42,91,29,58,13,0.3333333333333333,0.6904761904761905,0.4496124031007752,0.5686274509803921,0.31868131868131866,0.6904761904761905,0.43609022556390975,0.8730304937147638,0.33985982642630097,35,10,3,27,0.7777777777777778,0.9210526315789473,0.8433734939759038,0.594545957918051
screen,yolo11n_coco_1280_conf010,all,24.243332681999163,250,139,338,90,232,49,0.2795031055900621,0.6474820143884892,0.3904555314533622,0.5125284738041002,0.26627218934911245,0.6474820143884892,0.37735849056603776,0.8848590738397738,0.31189902962233335,118,44,9,79,0.7283950617283951,0.9291338582677166,0.8166089965397924,0.5464275027748647
screen,yolo26n_coco_640_conf025,development,23.720397427001444,175,97,112,56,52,41,0.5185185185185185,0.5773195876288659,0.5463414634146342,0.564516129032258,0.5,0.5773195876288659,0.5358851674641149,0.7828785490061465,0.5149394259412388,74,15,15,71,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.5636949496642732
screen,yolo26n_coco_640_conf025,test,23.720397427001444,75,42,42,23,17,19,0.575,0.5476190476190477,0.5609756097560975,0.5528846153846155,0.5476190476190477,0.5476190476190477,0.5476190476190477,0.778706240860751,0.6071547547196462,30,4,8,33,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.5536962833914054
screen,yolo26n_coco_640_conf025,all,23.720397427001444,250,139,154,79,69,60,0.5337837837837838,0.5683453237410072,0.5505226480836237,0.5610795454545454,0.512987012987013,0.5683453237410072,0.5392491467576791,0.7816178515809191,0.5400890610626227,104,19,23,104,0.8455284552845529,0.8188976377952756,0.832,0.560433500830939
screen,yolo26n_coco_640_conf040,development,22.11748978200194,175,97,85,47,35,50,0.573170731707317,0.4845360824742268,0.5251396648044693,0.5,0.5529411764705883,0.4845360824742268,0.5164835164835164,0.6944629009538232,0.5850307297840727,69,9,20,77,0.8846153846153846,0.7752808988764045,0.8263473053892216,0.5035504429800964
screen,yolo26n_coco_640_conf040,test,22.11748978200194,75,42,33,20,12,22,0.625,0.47619047619047616,0.5405405405405405,0.49999999999999994,0.6060606060606061,0.47619047619047616,0.5333333333333333,0.686433258826934,0.6526779136078948,28,1,10,36,0.9655172413793104,0.7368421052631579,0.835820895522388,0.5071589446589446
screen,yolo26n_coco_640_conf040,all,22.11748978200194,250,139,118,67,47,72,0.5877192982456141,0.48201438848920863,0.5296442687747036,0.49999999999999994,0.5677966101694916,0.48201438848920863,0.5214007782101168,0.6920366781528928,0.6039490100059892,97,10,30,113,0.9065420560747663,0.7637795275590551,0.829059829059829,0.5044923495362229
screen,yolo11n_coco_640_1280_union,development,44.84295865900276,175,97,169,65,102,32,0.38922155688622756,0.6701030927835051,0.4924242424242425,0.5855855855855856,0.38461538461538464,0.6701030927835051,0.4887218045112781,0.8828544934658544,0.37519054935254836,83,18,6,68,0.8217821782178217,0.9325842696629213,0.8736842105263158,0.5975952266039618
screen,yolo11n_coco_640_1280_union,test,44.84295865900276,75,42,61,27,32,15,0.4576271186440678,0.6428571428571429,0.5346534653465347,0.5947136563876653,0.4426229508196721,0.6428571428571429,0.5242718446601943,0.8543001451394264,0.44344814474380523,33,6,5,31,0.8461538461538461,0.868421052631579,0.8571428571428572,0.5972832210581833
screen,yolo11n_coco_640_1280_union,all,44.84295865900276,250,139,230,92,134,47,0.40707964601769914,0.6618705035971223,0.5041095890410959,0.5882352941176471,0.4,0.6618705035971223,0.4986449864498645,0.8742265608780128,0.39329365073892514,116,24,11,99,0.8285714285714286,0.9133858267716536,0.8689138576779027,0.5969511892001734
screen,yolo11n_coco_640_1280_recall_union,development,46.6649636330003,175,97,232,66,164,31,0.28695652173913044,0.6804123711340206,0.4036697247706422,0.5339805825242719,0.28448275862068967,0.6804123711340206,0.4012158054711246,0.8997667164090052,0.2824023893458006,85,34,4,52,0.7142857142857143,0.9550561797752809,0.8173076923076923,0.571881124603687
screen,yolo11n_coco_640_1280_recall_union,test,46.6649636330003,75,42,89,27,60,15,0.3103448275862069,0.6428571428571429,0.4186046511627907,0.5294117647058824,0.30337078651685395,0.6428571428571429,0.4122137404580153,0.8779712414849412,0.30668329598108535,35,10,3,27,0.7777777777777778,0.9210526315789473,0.8433734939759038,0.5535427884064612
screen,yolo11n_coco_640_1280_recall_union,all,46.6649636330003,250,139,321,93,224,46,0.29337539432176657,0.6690647482014388,0.40789473684210525,0.5326460481099655,0.2897196261682243,0.6690647482014388,0.40434782608695646,0.8931810333384248,0.28913447872443093,120,44,7,79,0.7317073170731707,0.9448818897637795,0.8247422680412372,0.5662033099736382
text,craft_recall_4k_with_screen_priority,development,352.05739101600193,175,91,2499,82,915,9,0.08224674022066199,0.9010989010989011,0.15073529411764705,0.30124908155767816,0.012404961984793917,0.34065934065934067,0.02393822393822394,0.6810973277033213,0.6254976078686328,32,85,2,56,0.27350427350427353,0.9411764705882353,0.423841059602649,0.6316227832657637
text,craft_recall_4k_with_screen_priority,test,352.05739101600193,75,25,873,19,261,6,0.06785714285714285,0.76,0.12459016393442622,0.25,0.011454753722794959,0.4,0.022271714922048998,0.5391116826274823,0.6977854248196521,13,35,2,25,0.2708333333333333,0.8666666666666667,0.41269841269841273,0.5319332552693209
text,craft_recall_4k_with_screen_priority,all,352.05739101600193,250,116,3372,101,1176,15,0.07909162098668755,0.8706896551724138,0.14501076812634603,0.2900631820792648,0.012158956109134046,0.35344827586206895,0.02350917431192661,0.6504969731611148,0.6442126921504358,45,120,4,81,0.2727272727272727,0.9183673469387755,0.42056074766355134,0.6101101299923243
