protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score
01_baseline_500,yolo11s_widerface_1280,medium_face,73,169,157,0.8562432390850325,0.9235668789808917,0.8579881656804734,0.8895705521472392,145,12,24,0,,0.8724416336272066
01_baseline_500,yolo11s_widerface_1280,large_face,14,14,10,0.6357142857142858,0.9,0.6428571428571429,0.75,9,1,5,0,,0.6953571428571429
01_baseline_500,yolo11s_widerface_1280,mixed_scale_face,126,673,609,0.8491519669752321,0.9408866995073891,0.8514115898959881,0.8939157566302652,573,36,100,0,,0.8709851425406976
01_baseline_500,yolo11s_widerface_1280,edge_or_partial_face,183,767,712,0.8644117959644948,0.9339887640449438,0.8670143415906127,0.8992562542258283,665,47,102,0,,0.8817722619948498
01_baseline_500,yolo11s_widerface_1280,profile_or_occluded_face,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0
01_baseline_500,yolo11s_widerface_1280,downward_egocentric_view,153,697,648,0.8706451193936111,0.9398148148148148,0.8737446197991392,0.9055762081784388,609,39,88,0,,0.8883095363955317
01_baseline_500,yolo11s_widerface_1280,motion_blur_or_low_sharpness,100,208,178,0.7304663293630764,0.8651685393258427,0.7403846153846154,0.7979274611398964,154,24,54,0,,0.7672487192175583
01_baseline_500,yolo11s_widerface_1280,low_light_or_dim,100,265,256,0.8641695187681544,0.8984375,0.8679245283018868,0.8829174664107486,230,26,35,0,,0.8747240599989136
01_baseline_500,yolo11s_widerface_1280,high_clutter,170,554,524,0.8994055639101309,0.9522900763358778,0.9007220216606499,0.9257884972170687,499,25,55,0,,0.9121454460172773
01_baseline_500,yolo11s_widerface_1280,outdoor_or_vehicle_scene,5,9,10,1.0,0.9,1.0,0.9473684210526316,9,1,0,0,,0.9768421052631578
01_baseline_500,yolo11n_pose_widerface_640,all_images,500,1323,1242,0.8600845840561178,0.9194847020933977,0.8631897203325775,0.890448343079922,1142,100,181,0,,0.8756338741954957
01_baseline_500,yolo11n_pose_widerface_640,multi_face,280,1240,1163,0.8723406731931125,0.9329320722269991,0.875,0.9030378693300042,1085,78,155,0,,0.887802674555201
01_baseline_500,yolo11n_pose_widerface_640,single_face,83,83,73,0.6756365787293876,0.7808219178082192,0.6867469879518072,0.7307692307692306,57,16,26,0,,0.7071600416418042
01_baseline_500,yolo11n_pose_widerface_640,no_face,137,0,6,0.0,0.0,0.0,0.0,0,6,0,6,0.9562043795620438,0.9562043795620438
01_baseline_500,yolo11n_pose_widerface_640,very_small_or_distant_face,40,81,78,0.8089373989227295,0.8461538461538461,0.8148148148148148,0.830188679245283,66,12,15,0,,0.821792184056335
01_baseline_500,yolo11n_pose_widerface_640,small_face,110,386,383,0.9205014939688342,0.9295039164490861,0.9222797927461139,0.9258777633289987,356,27,30,0,,0.9239016977621324
01_baseline_500,yolo11n_pose_widerface_640,medium_face,73,169,160,0.8731640634034485,0.925,0.8757396449704142,0.8996960486322189,148,12,21,0,,0.886654781388824
01_baseline_500,yolo11n_pose_widerface_640,large_face,14,14,10,0.6428571428571429,0.9,0.6428571428571429,0.75,9,1,5,0,,0.6953571428571429
01_baseline_500,yolo11n_pose_widerface_640,mixed_scale_face,126,673,605,0.8332634979337189,0.9305785123966942,0.836552748885587,0.8810641627543037,563,42,110,0,,0.8570831787038768
