relative_path,output_path,boxes_processed,mean_abs_diff,failure_label,severity,reason
day4/members/werner/18_0672.webp,outputs/03_anonymisation/03_nullface/images/day4/members/werner/18_0672.webp,3,1.204942,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/luca/11_0416.webp,outputs/03_anonymisation/03_nullface/images/day2/members/luca/11_0416.webp,5,1.468877,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/stevan/08_0631.webp,outputs/03_anonymisation/03_nullface/images/day1/members/stevan/08_0631.webp,0,0.307527,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day3/members/luca/17_0412.webp,outputs/03_anonymisation/03_nullface/images/day3/members/luca/17_0412.webp,4,1.356852,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/onanong/13_0378.webp,outputs/03_anonymisation/03_nullface/images/day4/members/onanong/13_0378.webp,6,1.422237,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/luca/11_0126.webp,outputs/03_anonymisation/03_nullface/images/day3/members/luca/11_0126.webp,3,1.921423,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/cathal/13_0074.webp,outputs/03_anonymisation/03_nullface/images/day4/members/cathal/13_0074.webp,7,1.428847,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/cathal/19_0687.webp,outputs/03_anonymisation/03_nullface/images/day2/members/cathal/19_0687.webp,3,0.676459,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/allie/09_0273.webp,outputs/03_anonymisation/03_nullface/images/day1/members/allie/09_0273.webp,6,1.838515,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/luca/13_0698.webp,outputs/03_anonymisation/03_nullface/images/day3/members/luca/13_0698.webp,1,1.285654,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/allie/09_0480.webp,outputs/03_anonymisation/03_nullface/images/day4/members/allie/09_0480.webp,1,0.368906,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/luca/18_0040.webp,outputs/03_anonymisation/03_nullface/images/day1/members/luca/18_0040.webp,1,0.733751,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/luca/10_0654.webp,outputs/03_anonymisation/03_nullface/images/day2/members/luca/10_0654.webp,4,1.518537,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/klaus/10_0063.webp,outputs/03_anonymisation/03_nullface/images/day1/members/klaus/10_0063.webp,1,8.167697,moderate_visual_risk,medium,"Material change likely tied to partial-face corruption, blockiness, or unstable synthesis."
day3/members/tien/20_0155.webp,outputs/03_anonymisation/03_nullface/images/day3/members/tien/20_0155.webp,3,1.012867,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/onanong/08_0611.webp,outputs/03_anonymisation/03_nullface/images/day1/members/onanong/08_0611.webp,1,0.815981,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
