relative_path,method,objective_mode,SSIM,LPIPS
day1/members/luca/08_0716.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.990004113907899,0.005695825442671776
day1/members/cathal/08_0346.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day4/members/florian/10_0112.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9859484432850493,0.014474144205451012
day1/members/florian/13_0133.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9913645595547882,0.004866314586251974
day2/members/tien/19_0311.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9921217403933777,0.008139021694660187
day3/members/werner/08_0688.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9916757350675703,0.006227200385183096
day3/members/onanong/11_0042.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9892457389516299,0.008341075852513313
day3/members/luca/18_0573.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9879394940865347,0.012557391077280045
day3/members/allie/17_0205.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9907444383315583,0.011968109756708145
day3/members/bjorn/18_0629.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.981346439294024,0.029593585059046745
day3/members/florian/19_0349.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day3/members/cathal/11_0509.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day3/members/allie/17_0399.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9872002955056104,0.013246780261397362
day1/members/klaus/09_0114.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9822248097671479,0.020349722355604172
day4/members/klaus/11_0401.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.989485242887362,0.009463874623179436
day4/members/luca/14_0559.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.994501032803221,0.0020608240738511086
day2/members/bjorn/19_0429.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/luca/12_0168.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day4/members/onanong/12_0450.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day2/members/cathal/12_0044.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.988681964104439,0.015485847368836403
day3/members/klaus/15_0375.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/onanong/10_0201.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9916250990993022,0.0046116081066429615
day2/members/florian/14_0324.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9688012845825158,0.04313702508807182
day4/members/bao/11_0549.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9801843310491033,0.024266337975859642
day3/members/florian/12_0302.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9956335905911335,0.0027198982425034046
day3/members/allie/12_0570.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day3/members/tien/09_0391.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day4/members/luca/10_0077.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9914479482822259,0.01158700417727232
day3/members/stevan/20_0090.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day3/members/klaus/18_0283.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9803230695239744,0.024368124082684517
day4/members/bjorn/08_0670.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9921547018014465,0.003921469673514366
day3/members/luca/18_0517.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9856649731057758,0.01549164205789566
day1/members/onanong/14_0049.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9869904089831879,0.016796430572867393
day1/members/luca/15_0372.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9840821012412585,0.014517467468976974
day4/members/cathal/13_0418.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9864226495467125,0.011914713308215141
day1/members/bjorn/10_0088.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9916992030603781,0.004244968760758638
day2/members/werner/10_0252.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9849204759491812,0.02250044047832489
day4/members/bjorn/13_0126.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9860351701279395,0.01419075857847929
day1/members/bjorn/11_0116.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9903099633713272,0.01005253754556179
day3/members/klaus/09_0194.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9939428433788864,0.00265284301713109
day3/members/klaus/20_0128.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9912655882417974,0.006943080574274063
day1/members/florian/08_0341.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day3/members/cathal/12_0524.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day2/members/onanong/17_0009.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9936049040558309,0.0039345882833004
day3/members/klaus/12_0480.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/werner/19_0255.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9926605360631479,0.005188477225601673
day1/members/werner/13_0606.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day4/members/bjorn/10_0076.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day3/members/luca/19_0582.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/bjorn/18_0134.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9851035941610187,0.021189391613006592
day4/members/luca/10_0115.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9894675303359844,0.01209164783358574
day3/members/bjorn/18_0483.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9818971946127304,0.019889842718839645
