method,fold,threshold,train_clusters,test_clusters,positive_train_rate,positive_test_rate,train_oapr_detector_score,variant_set,classifier,cluster_iou
error_hardened_all_raw_histgb_iou0_45,4,0.44,3480,870,0.565805,0.57931,0.951794,all_raw,histgb,0.45
error_hardened_all_raw_histgb_iou0_45,5,0.44,3480,870,0.570977,0.558621,0.955429,all_raw,histgb,0.45
error_hardened_all_raw_logreg_iou0_5,1,0.41,3569,893,0.564584,0.547592,0.916358,all_raw,logreg,0.5
error_hardened_all_raw_logreg_iou0_5,2,0.38,3569,893,0.560101,0.56551,0.924218,all_raw,logreg,0.5
error_hardened_all_raw_logreg_iou0_5,3,0.33,3570,892,0.558543,0.571749,0.914356,all_raw,logreg,0.5
error_hardened_all_raw_logreg_iou0_5,4,0.36,3570,892,0.557423,0.576233,0.917606,all_raw,logreg,0.5
error_hardened_all_raw_logreg_iou0_5,5,0.51,3570,892,0.565266,0.544843,0.927738,all_raw,logreg,0.5
error_hardened_all_raw_rf_iou0_5,1,0.4,3569,893,0.564584,0.547592,0.934376,all_raw,rf,0.5
error_hardened_all_raw_rf_iou0_5,2,0.38,3569,893,0.560101,0.56551,0.943953,all_raw,rf,0.5
error_hardened_all_raw_rf_iou0_5,3,0.45,3570,892,0.558543,0.571749,0.933852,all_raw,rf,0.5
error_hardened_all_raw_rf_iou0_5,4,0.42,3570,892,0.557423,0.576233,0.938914,all_raw,rf,0.5
error_hardened_all_raw_rf_iou0_5,5,0.39,3570,892,0.565266,0.544843,0.943094,all_raw,rf,0.5
error_hardened_all_raw_extra_iou0_5,1,0.53,3569,893,0.564584,0.547592,0.940592,all_raw,extra,0.5
error_hardened_all_raw_extra_iou0_5,2,0.52,3569,893,0.560101,0.56551,0.949775,all_raw,extra,0.5
error_hardened_all_raw_extra_iou0_5,3,0.52,3570,892,0.558543,0.571749,0.940839,all_raw,extra,0.5
error_hardened_all_raw_extra_iou0_5,4,0.44,3570,892,0.557423,0.576233,0.945926,all_raw,extra,0.5
error_hardened_all_raw_extra_iou0_5,5,0.5,3570,892,0.565266,0.544843,0.949315,all_raw,extra,0.5
error_hardened_all_raw_histgb_iou0_5,1,0.42,3569,893,0.564584,0.547592,0.945586,all_raw,histgb,0.5
error_hardened_all_raw_histgb_iou0_5,2,0.39,3569,893,0.560101,0.56551,0.956895,all_raw,histgb,0.5
