fold,relative_path,policy_category,selected_method,selection_source,score,privacy,utility
1,day4/members/werner/14_0045.webp,medium_face,blur,train_fold_category,0.8415145469518964,0.9333333333333333,0.6130260137155055
1,day4/members/werner/18_0362.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day4/members/werner/18_0672.webp,medium_face,blur,train_fold_category,0.8737998772541195,1.0,0.61256066423751
2,day1/members/florian/08_0341.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/florian/08_0717.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8219277596247346,0.9333333333333333,0.5479469637667048
2,day1/members/florian/09_0596.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/florian/10_0419.webp,medium_face,blur,train_fold_category,0.8673420415261814,1.0,0.5886959406380033
2,day1/members/florian/11_0210.webp,small_face,blur,train_fold_category,0.8833551712294505,1.0,0.6437967589681276
2,day1/members/florian/11_0219.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8652375694784261,1.0,0.5796645999361367
2,day1/members/florian/13_0133.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.868682419784886,1.0,0.5908559260020376
2,day1/members/florian/15_0199.webp,medium_face,blur,train_fold_category,0.8723261082457308,1.0,0.6095297811370338
2,day1/members/florian/15_0647.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/florian/16_0525.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8714076302580965,1.0,0.6008750875376665
2,day1/members/florian/17_0649.webp,medium_face,blur,train_fold_category,0.8695831607007621,1.0,0.597325858138823
2,day1/members/florian/18_0042.webp,medium_face,blur,train_fold_category,0.8381558938237912,0.9333333333333333,0.6026720443769087
2,day1/members/florian/18_0275.webp,medium_face,blur,train_fold_category,0.897229443930879,1.0,0.6876929375835651
2,day1/members/florian/18_0328.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/florian/18_0375.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/florian/19_0244.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/florian/20_0151.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/stevan/08_0330.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/stevan/08_0631.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/stevan/10_0179.webp,medium_face,blur,train_fold_category,0.8428306238136467,0.9166666666666666,0.6452273913108401
2,day1/members/stevan/10_0250.webp,medium_face,blur,train_fold_category,0.8387921975056583,0.9166666666666666,0.6325075883162102
2,day1/members/stevan/11_0011.webp,small_face,blur,train_fold_category,0.881264116806374,1.0,0.6349534138952264
2,day1/members/stevan/11_0456.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/stevan/17_0340.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8827267486615734,1.0,0.6323349724067839
2,day1/members/stevan/18_0014.webp,small_face,blur,train_fold_category,0.8226851859048437,0.888888888888889,0.6247555241787133
2,day1/members/stevan/18_0567.webp,medium_face,blur,train_fold_category,0.8422975271975813,0.9166666666666666,0.6432399803268005
2,day1/members/stevan/18_0597.webp,medium_face,blur,train_fold_category,0.8726939509488547,1.0,0.607753482033513
2,day1/members/stevan/18_0660.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day1/members/stevan/19_0205.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day2/members/florian/10_0103.webp,small_face,blur,train_fold_category,0.8829969788247315,1.0,0.6414151857288481
2,day2/members/florian/11_0279.webp,small_face,blur,train_fold_category,0.8533891291201667,0.9166666666666666,0.6829860712304581
2,day2/members/florian/12_0020.webp,high_clutter,pixelate,train_fold_category,0.9890329898226261,1.0,0.9967915976714784
2,day2/members/florian/12_0418.webp,large_face,layered_blur_downscale_noise,train_fold_category,0.9875190520010694,1.0,0.990252069236528
2,day2/members/florian/12_0439.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day2/members/florian/14_0042.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day2/members/florian/14_0293.webp,medium_face,blur,train_fold_category,0.8368305992651864,0.962962962962963,0.5516533113234339
2,day2/members/florian/14_0303.webp,medium_face,blur,train_fold_category,0.8688216183731315,1.0,0.5966005804446701
2,day2/members/florian/14_0324.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8038313260408904,0.962962962962963,0.4417551548619769
2,day2/members/florian/14_0672.webp,medium_face,blur,train_fold_category,0.8812406036597764,1.0,0.6362810596217081
2,day2/members/florian/14_0717.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8684127003286483,1.0,0.5894931635807693
2,day2/members/florian/15_0006.webp,high_clutter,pixelate,train_fold_category,0.9889619524546737,1.0,0.9953355962559092
2,day2/members/florian/15_0118.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.9391805421195185,1.0,0.8261656530572157
2,day2/members/florian/15_0395.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
