relative_path,method,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_050,facenet_reid_rate_060,facenet_reid_rate_070,landmark_pair_rate,landmark_error_mean,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status
day1/members/stevan/10_0179.webp,pixelate,4,0.8356453971035632,0.4337691068649292,0.4445362985134125,0.25,0.25,0.25,0.0,,0.0,0.9992141127586365,0.3260055431314879,ok
day1/members/stevan/10_0179.webp,solid_mask_black,4,0.01315287119465444,0.754290759563446,0.20178785920143127,0.25,0.25,0.0,0.0,,0.0,0.9983288049697876,0.004603504918129054,ok
day1/members/stevan/10_0179.webp,layered_blur_downscale_noise,4,0.7657123734511622,0.5970757603645325,0.14079126715660095,0.25,0.25,0.25,0.0,,0.0,0.9983340501785278,0.2679993307079067,ok
day1/members/stevan/10_0179.webp,nullface,4,0.7999763612360429,0.3130582869052887,0.19792556762695312,0.25,0.25,0.25,0.75,0.17514916890634583,0.4995738031247262,0.9945700168609619,0.6108560337611522,ok
day1/members/stevan/10_0179.webp,diffusion_low_step,4,0.5863577668996037,0.53629469871521,0.3071034550666809,0.25,0.0,0.0,0.75,0.6153196744288103,0.0,0.998321533203125,0.3458291697796169,ok
day1/members/stevan/10_0179.webp,reverse_personalization,4,0.8356990294839965,0.23333165049552917,0.11768922209739685,0.25,0.25,0.25,0.75,0.16238094022133312,0.5360544565104768,0.9982932209968567,0.6723424491992533,ok
day3/members/werner/08_0619.webp,blur,2,0.7698285873818927,0.5081606507301331,0.10204872488975525,0.0,0.0,0.0,0.0,,0.0,0.9989239573478699,0.2809560550879425,ok
day3/members/werner/08_0619.webp,pixelate,2,0.7713093533920834,0.5058141946792603,0.3955220580101013,0.0,0.0,0.0,0.0,,0.0,0.9989240169525146,0.2799481984160996,ok
day3/members/werner/08_0619.webp,solid_mask_black,2,0.012493202956038101,0.848644495010376,0.04070443660020828,0.0,0.0,0.0,0.0,,0.0,0.9978588223457336,0.004372621034613335,ok
day3/members/werner/08_0619.webp,layered_blur_downscale_noise,2,0.680550395595092,0.6614769697189331,0.015208791941404343,0.0,0.0,0.0,0.0,,0.0,0.9978756904602051,0.23819263845828217,ok
day3/members/werner/08_0619.webp,nullface,2,0.7926070641696525,0.3140226900577545,0.15477822721004486,0.0,0.0,0.0,0.5,0.10131064123362699,0.7105410250467801,0.9962791800498962,0.6230363836921962,ok
day3/members/werner/08_0619.webp,diffusion_low_step,2,0.43601948212748287,0.6192029118537903,0.27112889289855957,0.0,0.0,0.0,0.0,,0.0,0.9978455901145935,0.15260681874461898,ok
day3/members/werner/08_0619.webp,reverse_personalization,2,0.8730831030042734,0.1688493937253952,0.3039839267730713,0.5,0.5,0.5,1.0,0.6362476686306769,0.0,0.9977956414222717,0.6211543817382175,ok
day3/members/tien/10_0512.webp,blur,0,,,,,,,,,,0.999291718006134,,no_face
day3/members/tien/10_0512.webp,pixelate,0,,,,,,,,,,0.999291718006134,,no_face
day3/members/tien/10_0512.webp,solid_mask_black,0,,,,,,,,,,0.9987138509750366,,no_face
day3/members/tien/10_0512.webp,layered_blur_downscale_noise,0,,,,,,,,,,0.9987138509750366,,no_face
day3/members/tien/10_0512.webp,nullface,0,,,,,,,,,,0.9987138509750366,,no_face
day3/members/tien/10_0512.webp,diffusion_low_step,0,,,,,,,,,,0.9987138509750366,,no_face
day3/members/tien/10_0512.webp,reverse_personalization,0,,,,,,,,,,0.9987138509750366,,no_face
day1/members/werner/14_0048.webp,blur,0,,,,,,,,,,0.9991778135299683,,no_face
day1/members/werner/14_0048.webp,pixelate,0,,,,,,,,,,0.9991778135299683,,no_face
day1/members/werner/14_0048.webp,solid_mask_black,0,,,,,,,,,,0.9984810948371887,,no_face
