method,relative_path,non_sensitive_ssim
layered_blur_downscale_noise,day4/members/werner/09_0017.webp,0.9981818646689785
layered_blur_downscale_noise,day4/members/werner/12_0528.webp,0.9978972639041582
layered_blur_downscale_noise,day3/members/bjorn/20_0140.webp,0.9970249930632903
layered_blur_downscale_noise,day3/members/onanong/15_0413.webp,0.9982682391480576
layered_blur_downscale_noise,day1/members/luca/13_0044.webp,0.9978779238910294
layered_blur_downscale_noise,day4/members/luca/11_0578.webp,0.9981540062723671
layered_blur_downscale_noise,day4/members/werner/18_0672.webp,0.9983031733778356
layered_blur_downscale_noise,day2/members/luca/11_0416.webp,0.9981176796315153
layered_blur_downscale_noise,day1/members/stevan/08_0631.webp,0.9983293924251372
layered_blur_downscale_noise,day3/members/luca/17_0412.webp,0.9982432166894754
layered_blur_downscale_noise,day4/members/onanong/13_0378.webp,0.9978186783798311
layered_blur_downscale_noise,day3/members/luca/11_0126.webp,0.9972780581665175
layered_blur_downscale_noise,day4/members/cathal/13_0074.webp,0.998155281235466
layered_blur_downscale_noise,day2/members/cathal/19_0687.webp,0.9980858103803065
layered_blur_downscale_noise,day1/members/allie/09_0273.webp,0.9983119925513773
layered_blur_downscale_noise,day3/members/luca/13_0698.webp,0.9984118483133236
layered_blur_downscale_noise,day4/members/allie/09_0480.webp,0.9980991299690455
layered_blur_downscale_noise,day1/members/luca/18_0040.webp,0.9986964976861818
layered_blur_downscale_noise,day2/members/luca/10_0654.webp,0.9981129823879492
layered_blur_downscale_noise,day1/members/klaus/10_0063.webp,0.9776134284072446
layered_blur_downscale_noise,day3/members/tien/20_0155.webp,0.9972641003859675
layered_blur_downscale_noise,day1/members/onanong/08_0611.webp,0.9979735674746285
layered_blur_downscale_noise,day4/members/stevan/13_0714.webp,0.9977929492612906
layered_blur_downscale_noise,day2/members/florian/12_0020.webp,0.9984540420447744
layered_blur_downscale_noise,day1/members/cathal/09_0001.webp,0.9976786039922038
layered_blur_downscale_noise,day1/members/luca/08_0225.webp,0.9985764647922886
layered_blur_downscale_noise,day1/members/allie/14_0135.webp,0.9981084519239526
layered_blur_downscale_noise,day1/members/allie/10_0099.webp,0.997776633293774
layered_blur_downscale_noise,day4/members/bao/08_0028.webp,0.998340137395318
layered_blur_downscale_noise,day1/members/bjorn/18_0340.webp,0.9971252713580631
nullface,day3/members/stevan/20_0682.webp,0.9733722398406243
nullface,day1/members/luca/12_0078.webp,0.9981699280475275
nullface,day3/members/tien/14_0649.webp,0.9818791409445194
nullface,day2/members/bjorn/16_0250.webp,0.998774522815372
nullface,day1/members/stevan/10_0179.webp,0.9785318829090249
nullface,day3/members/werner/08_0619.webp,0.9938799129391365
nullface,day3/members/tien/10_0512.webp,0.9978363008139334
nullface,day1/members/werner/14_0048.webp,0.997678525823574
nullface,day1/members/klaus/17_0206.webp,0.9868143546895896
nullface,day4/members/florian/11_0412.webp,0.9922836489775494
nullface,day1/members/allie/18_0412.webp,0.97813686371911
nullface,day2/members/klaus/18_0601.webp,0.9961156952402813
nullface,day4/members/allie/12_0604.webp,0.9948503069635702
nullface,day1/members/onanong/08_0572.webp,0.9942788164297646
nullface,day3/members/stevan/09_0286.webp,0.9942106309105565
nullface,day3/members/tien/20_0434.webp,0.9941883134628856
nullface,day4/members/werner/18_0362.webp,0.9981561851177935
nullface,day1/members/cathal/12_0342.webp,0.9880631562239026
nullface,day3/members/florian/19_0198.webp,0.9909083110525123
nullface,day4/members/allie/18_0334.webp,0.9823092788629401
nullface,day4/members/werner/09_0017.webp,0.9981818646689785
nullface,day4/members/werner/12_0528.webp,0.995454831122483
nullface,day3/members/bjorn/20_0140.webp,0.9900235823492484
nullface,day3/members/onanong/15_0413.webp,0.9872838158992852
nullface,day1/members/luca/13_0044.webp,0.9951609319102962
nullface,day4/members/luca/11_0578.webp,0.9886350508093296
nullface,day4/members/werner/18_0672.webp,0.9901779489410664
nullface,day2/members/luca/11_0416.webp,0.9866617974200604
nullface,day1/members/stevan/08_0631.webp,0.9983293924251372
nullface,day3/members/luca/17_0412.webp,0.9890591933764673
nullface,day4/members/onanong/13_0378.webp,0.9884758413583675
nullface,day3/members/luca/11_0126.webp,0.9849371656601892
nullface,day4/members/cathal/13_0074.webp,0.9922087959028371
nullface,day2/members/cathal/19_0687.webp,0.9962535154491848
nullface,day1/members/allie/09_0273.webp,0.9838343262351562
nullface,day3/members/luca/13_0698.webp,0.9873311608679107
nullface,day4/members/allie/09_0480.webp,0.9979711973539668
nullface,day1/members/luca/18_0040.webp,0.9958067140673702
