protocol,model,subgroup,precision,recall,f1,f2,specificity,exploratory_oapr_detector_score,oapr_deployment_detector_score,recall_floor,passes_recall_floor,image_count,tp,fp,fn,source_table,adopted_primary
02_egocentric_stress_500,cv_box_reranker_with_sliced_yolo_predicted_conditions,mixed_scale_face,0.9314516129032258,0.924,0.927710843373494,0.9254807692307693,,0.925672872133696,0.9251153535980149,0.85,,45,231,17,19,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,cv_box_reranker_with_sliced_yolo_predicted_conditions,all_images,0.8987246811702926,0.9330218068535826,0.915552158960642,0.9259545524810636,,0.9252246823120184,0.9278252806921239,0.85,True,500,1198,135,86,08_sliced_rfdetr_detector_experiment,False
combined_1000,fusion_rfdetr_yolo11s_scrfd10g,small_face,0.8307692307692308,0.953341740226986,0.887844979448033,0.9260166585007349,,0.9247102990864724,0.9342532188496477,0.85,,229,756,154,37,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,high_clutter,0.9530075187969924,0.9151624548736462,0.9337016574585636,0.9224890829694323,,0.9235817619122102,0.9207786182899274,0.85,,170,507,25,47,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,cv_box_reranker_with_sliced_yolo_predicted_conditions,edge_or_partial_face,0.9142512077294686,0.9254278728606355,0.919805589307412,0.923170731707317,,0.9229046354592132,0.9237459210591892,0.85,,193,757,71,61,08_sliced_rfdetr_detector_experiment,False
combined_1000,fusion_rfdetr_scrfd10g,multi_face,0.905103668261563,0.928045789043336,0.9164311667339524,0.9233647901073868,,0.9228479213878128,0.9245813272311715,0.85,,556,2270,238,176,08_sliced_rfdetr_detector_experiment,False
combined_1000,cv_box_reranker_with_rfdetr_predicted_conditions,multi_face,0.924211388775092,0.9223221586263288,0.9232658072437078,0.9226993865030676,,0.9227469937955498,0.9226053886103899,0.85,,556,2256,185,190,08_sliced_rfdetr_detector_experiment,False
combined_1000,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,multi_face,0.9264282778462803,0.9215044971381848,0.9239598278335726,0.9224850617991324,,0.9226107078828414,0.9222420163742313,0.85,,556,2254,179,192,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,all_images,0.8663793103448276,0.9392523364485982,0.9013452914798206,0.9237132352941175,,0.9224882725960268,0.928080258549601,0.85,True,500,1206,186,78,08_sliced_rfdetr_detector_experiment,False
combined_1000,rfdetr_medium_face_030,high_clutter,0.8975234842015372,0.929266136162688,0.9131190269331017,0.922739244951712,,0.9220550936591764,0.9244601481638288,0.85,,360,1051,120,80,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,mixed_scale_face,0.8992248062015504,0.928,0.9133858267716536,0.9220985691573926,,0.9214689373130686,0.9236471229095033,0.85,,45,232,26,18,08_sliced_rfdetr_detector_experiment,False
combined_1000,fusion_rfdetr_yolo11s_scrfd10g,multi_face,0.8685107995452823,0.9370400654129192,0.9014749262536874,0.9224824921516543,,0.9212958540363476,0.9265477455108394,0.85,,556,2292,347,154,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,fusion_rfdetr_yolo11s_scrfd10g,high_clutter,0.8850771869639794,0.9314079422382672,0.9076517150395778,0.9217577706323687,,0.920835809911166,0.9243623238093638,0.85,,170,516,67,38,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,cv_box_reranker_with_rfdetr_predicted_conditions,high_clutter,0.9371534195933456,0.9151624548736462,0.926027397260274,0.9194776931447226,,0.9200777869422732,0.9184403609133853,0.85,,170,507,34,47,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,high_clutter,0.9304029304029304,0.9169675090252708,0.9236363636363636,0.9196234612599566,,0.91997826481581,0.9189750392217082,0.85,,170,508,38,46,08_sliced_rfdetr_detector_experiment,False
combined_1000,fixed_fusion_yolo11s1280_scrfd10g,multi_face,0.9144016227180528,0.9215044971381848,0.9179393198941151,0.9200751081720957,,0.9199029153851542,0.9204368624546493,0.85,,556,2254,211,192,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,no_face,0.0,0.0,0.0,0.0,0.9197080291970804,0.9197080291970804,0.09197080291970805,0.85,,137,0,12,0,08_sliced_rfdetr_detector_experiment,False
combined_1000,cv_box_reranker_with_sliced_yolo_predicted_conditions,multi_face,0.9291338582677166,0.9165985282093212,0.9228236262605474,0.9190784619168648,,0.9194083357279674,0.9184720446420467,0.85,,556,2242,171,204,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fusion_rfdetr_yolo11s_scrfd10g,all_images,0.8032786885245902,0.95404984423676,0.872196511213955,0.9195316018615822,,0.9185093954098418,0.9303431680717485,0.85,True,500,1225,300,59,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,cv_box_reranker_with_sliced_yolo_predicted_conditions,high_clutter,0.9526515151515152,0.907942238267148,0.9297597042513864,0.9165451895043731,,0.9178675324516444,0.9145639037648912,0.85,,170,503,25,51,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fusion_rfdetr_yolo11s_scrfd10g,small_face,0.7878787878787878,0.9582309582309584,0.8647450110864745,0.9185115402731986,,0.9178242544096202,0.9312658867063015,0.85,,119,390,105,17,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,rfdetr_medium_face_030,medium_face,0.8838821490467937,0.9272727272727272,0.9050576752440106,0.9182571119913575,,0.9173799064429548,0.9206797656297916,0.85,,150,510,67,40,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_all_raw_rf_iou0_45,all_images,0.9318715740015662,0.9129267357115458,0.9223018794807208,0.9166538283777539,,0.9171650054828416,0.9157529927070998,0.85,True,1000,2380,174,227,12_detector_error_hardening,True
02_egocentric_stress_500,cv_box_reranker_with_rfdetr_predicted_conditions,outdoor_or_vehicle_scene,0.6666666666666666,1.0,0.8,0.9090909090909091,,0.9166666666666669,0.943939393939394,0.85,,18,4,2,0,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,outdoor_or_vehicle_scene,0.6666666666666666,1.0,0.8,0.9090909090909091,,0.9166666666666669,0.943939393939394,0.85,,18,4,2,0,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,rfdetr_medium_face_030,high_clutter,0.933456561922366,0.9115523465703972,0.9223744292237442,0.9158505622052957,,0.9164482887689308,0.9148173220143188,0.85,,170,505,36,49,08_sliced_rfdetr_detector_experiment,False
01_baseline_500,fusion_rfdetr_scrfd10g,high_clutter,0.9136690647482014,0.9169675090252708,0.9153153153153154,0.9163059163059164,,0.916224616170075,0.9164722664177253,0.85,,170,508,48,46,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_raw_plus_fusions_rf_iou0_5,all_images,0.9335430593786866,0.9106252397391638,0.9219417475728156,0.9151183409143475,,0.915746148661529,0.914040296996912,0.85,True,1000,2374,169,233,12_detector_error_hardening,False
combined_1000,error_hardened_all_raw_logreg_iou0_45,all_images,0.918013856812933,0.9148446490218642,0.9164265129682998,0.9154767388300321,,0.91555703578758,0.9153195922530131,0.85,True,1000,2385,213,222,12_detector_error_hardening,False
