label,support,precision,recall,f1,f2,route_eligible,included_in_primary_score,method_id,feature_set,estimator,route_influence
outdoor_or_vehicle_scene,23,0.4102564102564102,0.6956521739130435,0.5161290322580645,0.6106870229007634,False,False,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
profile_or_occluded_face,206,0.3545918367346938,0.6747572815533981,0.4648829431438127,0.571546052631579,False,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
single_face,161,0.4959349593495935,0.7577639751552795,0.5995085995085995,0.6853932584269663,False,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
small_face,229,0.510752688172043,0.8296943231441049,0.632279534109817,0.7375776397515528,False,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
very_small_or_distant_face,52,0.2867647058823529,0.75,0.4148936170212766,0.5668604651162791,False,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
downward_egocentric_view,242,0.3427109974424552,0.5537190082644629,0.4233807266982622,0.493009565857248,False,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
edge_or_partial_face,376,0.8285714285714286,0.7712765957446809,0.7988980716253443,0.7820927723840345,True,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,True
high_clutter,360,0.8487179487179487,0.9194444444444444,0.8826666666666667,0.9043715846994536,True,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,True
large_face,42,0.1842105263157894,0.5,0.2692307692307692,0.3723404255319149,False,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
low_light_or_dim,199,0.834061135371179,0.9597989949748744,0.8925233644859814,0.9317073170731708,True,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,True
medium_face,223,0.4911764705882352,0.7488789237668162,0.5932504440497336,0.6777597402597403,False,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
mixed_scale_face,171,0.4852941176470588,0.7719298245614035,0.5959367945823928,0.6903765690376569,False,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
motion_blur_or_low_sharpness,194,0.6707818930041153,0.8402061855670103,0.7459954233409611,0.7998037291462218,True,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,True
multi_face,556,0.9547101449275364,0.947841726618705,0.9512635379061372,0.9492074927953892,True,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,True
no_face,283,0.8627450980392157,0.9328621908127208,0.8964346349745331,0.917941585535466,True,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,True
outdoor_or_vehicle_scene,23,0.4594594594594595,0.7391304347826086,0.5666666666666667,0.6589147286821705,False,False,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
profile_or_occluded_face,206,0.3477088948787062,0.6262135922330098,0.4471403812824956,0.5397489539748954,False,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
single_face,161,0.5063829787234042,0.7391304347826086,0.601010101010101,0.676905574516496,False,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
small_face,229,0.5086206896551724,0.7729257641921398,0.6135181975736569,0.7001582278481012,False,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
very_small_or_distant_face,52,0.304,0.7307692307692307,0.4293785310734463,0.5705705705705706,False,True,handcrafted_yolo_scrfd_disagreement__logistic_regression,handcrafted_yolo_scrfd_disagreement,logistic_regression,False
downward_egocentric_view,242,0.3448275862068966,0.7024793388429752,0.4625850340136054,0.5817932922655715,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
edge_or_partial_face,376,0.8406779661016949,0.6595744680851063,0.7391952309985097,0.6892718176764869,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
