method,relative_path,non_sensitive_ssim,full_frame_utility,SSIM,privacy_score_legacy
diffusion_low_step,day2/members/florian/14_0303.webp,0.9981380189616056,0.859031032125307,0.979277818103935,1.0
diffusion_low_step,day1/members/luca/14_0698.webp,0.9981317466050235,0.9062532557351636,0.9828779135253524,0.8333333333333334
diffusion_low_step,day1/members/stevan/18_0660.webp,0.9978120597010481,0.9751375879224622,0.9945436852179932,1.0
diffusion_low_step,day3/members/allie/13_0693.webp,0.9968684266975321,0.9459383703150412,0.9927084280804914,1.0
diffusion_low_step,day3/members/onanong/11_0248.webp,0.9978206602952472,0.886118219852212,0.9816431285138186,1.0
diffusion_low_step,day4/members/cathal/13_0210.webp,0.9975201566062303,0.5462598574007211,0.9646665745664952,1.0
diffusion_low_step,day1/members/stevan/18_0014.webp,0.9981034963603905,0.8532692015482752,0.9831919462112124,1.0
layered_blur_downscale_noise,day3/members/stevan/20_0682.webp,0.9981439589373361,0.809528360559306,0.9848305703078934,0.9
layered_blur_downscale_noise,day1/members/luca/12_0078.webp,0.9981699280475275,0.973127082275932,0.9960238566748004,1.0
layered_blur_downscale_noise,day3/members/tien/14_0649.webp,0.9980046167008302,0.7948173835198022,0.9819113372405246,1.0
layered_blur_downscale_noise,day2/members/bjorn/16_0250.webp,0.998774522815372,0.9884983019601168,0.9963648491866116,1.0
layered_blur_downscale_noise,day1/members/stevan/10_0179.webp,0.9977858497900337,0.9254972718302784,0.9902136526295297,1.0
layered_blur_downscale_noise,day3/members/werner/08_0619.webp,0.9985074028192029,0.9432259328038785,0.991271727779764,1.0
layered_blur_downscale_noise,day3/members/tien/10_0512.webp,0.9978363008139334,0.953043273688072,0.9948492255821112,1.0
layered_blur_downscale_noise,day1/members/werner/14_0048.webp,0.997678525823574,0.956244534178331,0.9938649149959374,1.0
layered_blur_downscale_noise,day1/members/klaus/17_0206.webp,0.9976623908350994,0.8326569840785865,0.9871756226772078,1.0
layered_blur_downscale_noise,day4/members/florian/11_0412.webp,0.9979776172109108,0.907009016618858,0.9880493653729168,1.0
layered_blur_downscale_noise,day1/members/allie/18_0412.webp,0.9976671190274295,0.8149471469856786,0.9884356038048836,1.0
layered_blur_downscale_noise,day2/members/klaus/18_0601.webp,0.9983466203082504,0.947565060863398,0.9924651585708107,1.0
layered_blur_downscale_noise,day4/members/allie/12_0604.webp,0.9978103070984714,0.9125874488659228,0.9899533165708236,1.0
layered_blur_downscale_noise,day1/members/onanong/08_0572.webp,0.9981123625752807,0.9091787135673192,0.9898791429544742,1.0
layered_blur_downscale_noise,day3/members/stevan/09_0286.webp,0.9978970319572942,0.931011852872055,0.9918319118553028,1.0
layered_blur_downscale_noise,day3/members/tien/20_0434.webp,0.9980354581115205,0.9265692344586728,0.9911274218371866,1.0
layered_blur_downscale_noise,day4/members/werner/18_0362.webp,0.9981561851177935,0.9739522210377448,0.9953119741863,1.0
layered_blur_downscale_noise,day1/members/cathal/12_0342.webp,0.9981397800712908,0.7796429019323194,0.9812451146346736,1.0
layered_blur_downscale_noise,day3/members/florian/19_0198.webp,0.9982991987574499,0.9616306263750992,0.9945945875314278,0.5
layered_blur_downscale_noise,day4/members/allie/18_0334.webp,0.9976198925033989,0.7792917344154868,0.9829455545906132,0.5
layered_blur_downscale_noise,day4/members/werner/09_0017.webp,0.9981818646689785,0.9856000334160078,0.9948159719157312,1.0
layered_blur_downscale_noise,day4/members/werner/12_0528.webp,0.9978972639041582,0.9305754657007904,0.9914883336261218,1.0
layered_blur_downscale_noise,day3/members/bjorn/20_0140.webp,0.9970249930632903,0.9094371933245324,0.98999980608695,1.0
layered_blur_downscale_noise,day3/members/onanong/15_0413.webp,0.9982682391480576,0.8348591400374406,0.983083329735087,1.0
layered_blur_downscale_noise,day1/members/luca/13_0044.webp,0.9978779238910294,0.9203855250489332,0.989241507741137,1.0
layered_blur_downscale_noise,day4/members/luca/11_0578.webp,0.9981540062723671,0.8914493686781484,0.9868090397270834,1.0
layered_blur_downscale_noise,day4/members/werner/18_0672.webp,0.9983031733778356,0.9132131589461564,0.9899372625865936,1.0
layered_blur_downscale_noise,day2/members/luca/11_0416.webp,0.9981176796315153,0.8741039100833741,0.9851367488102132,1.0
layered_blur_downscale_noise,day1/members/stevan/08_0631.webp,0.9983293924251372,0.9847167688170732,0.9955351426695112,1.0
layered_blur_downscale_noise,day3/members/luca/17_0412.webp,0.9982432166894754,0.8051082916976657,0.9839163602236204,1.0
layered_blur_downscale_noise,day4/members/onanong/13_0378.webp,0.9978186783798311,0.8541356311134751,0.9854448931201808,0.9166666666666666
layered_blur_downscale_noise,day3/members/luca/11_0126.webp,0.9972780581665175,0.7933603034883296,0.9812181580006192,1.0
layered_blur_downscale_noise,day4/members/cathal/13_0074.webp,0.998155281235466,0.8664965099005089,0.9840322118815156,1.0
layered_blur_downscale_noise,day2/members/cathal/19_0687.webp,0.9980858103803065,0.907960173314118,0.9896585729227536,1.0
