category,category_source,support_count,scored_frame_count,method,success_rate,SSIM_mean,LPIPS_mean,privacy_score_mean,utility_score_mean,runtime_score_mean,privacy_first_score,balanced_oapr_anonymisation_score,utility_preserving_score,runtime_practical_score,runtime_mean_for_score,privacy_first_score_rank,balanced_oapr_anonymisation_score_rank,utility_preserving_score_rank,runtime_practical_score_rank
edge_or_partial_face,manual_condition_review,193,193,pixelate,1.0,0.9940995760674097,0.009892708011115707,0.6527816095821277,0.8981227079225478,0.902502038341969,0.73679063481297,0.786077821002025,0.835146040670109,0.8114877969199513,0.4874898082901554,6,5,5,4
edge_or_partial_face,manual_condition_review,193,193,reverse_personalization,0.7357512953367875,0.9886655607362038,0.007208971965486522,0.6174921868574719,0.6790030167817682,0.0,0.6076701128511743,0.5860221279969451,0.5983242939818043,0.4563726076330211,139.439574,7,7,7,7
edge_or_partial_face,manual_condition_review,193,193,solid_mask_black,1.0,0.9659584938709834,0.030188404020631367,0.9995682210708119,0.697840060571004,0.9147353906735752,0.9501105333688975,0.9006096677740647,0.8402640356741031,0.9138159177445979,0.4263230466321244,2,3,4,2
high_clutter,manual_condition_review,190,146,blur,1.0,0.9896896015444223,0.01185032628225051,0.951989562948467,0.8763415379497059,0.8959134082191781,0.9426395951673416,0.9284885836810632,0.913358978681311,0.9248381552350814,0.5204329589041095,3,2,2,2
high_clutter,manual_condition_review,190,146,diffusion_low_step,1.0,0.9827993579345435,0.012507095044695658,0.9664003044140029,0.8663287285203151,0.39563365753424656,0.9262112052445618,0.8826621365165207,0.8626478213377831,0.7785159647299382,3.1622333972602745,4,4,3,5
high_clutter,manual_condition_review,190,146,layered_blur_downscale_noise,1.0,0.9860865394028433,0.013102746072659039,0.9818071863448575,0.8620158089748313,0.9055728301369863,0.9618460432944741,0.9400656188785766,0.9161073434045715,0.9367978853740051,0.4721358493150686,1,1,1,1
high_clutter,manual_condition_review,190,146,nullface,1.0,0.9599359295470992,0.03224993468109161,0.9530060882800608,0.7576555333929377,0.0,0.8807525918049833,0.8037997041579117,0.7647295931804869,0.6327335419906118,20.167529,5,6,6,6
high_clutter,manual_condition_review,190,146,pixelate,1.0,0.9941751552778426,0.008933996622532778,0.6902546749293325,0.9077476114135935,0.8975001452054796,0.7642154214228457,0.8072016354092921,0.8507002227061444,0.8269014358160954,0.5124992739726028,6,5,5,4
high_clutter,manual_condition_review,190,146,reverse_personalization,0.8356164383561644,0.9891975581112904,0.0060818989345404716,0.7137910415307676,0.7807085413128912,0.0,0.7003216541040874,0.6746697269948676,0.6880532269512925,0.5252197687105017,139.439574,7,7,7,7
high_clutter,manual_condition_review,190,146,solid_mask_black,1.0,0.9694958110320134,0.02691913126371418,0.9993150684931508,0.7238363313928472,0.9098918958904108,0.953590592448653,0.9077976232534706,0.85270187583341,0.9174608624429531,0.45054052054794524,2,3,4,3
large_face,manual_condition_review,28,27,blur,1.0,0.9878436863041715,0.019526565293307176,0.6088477366255144,0.8058349258968569,0.9022067555555554,0.6921789923001663,0.7363950216373697,0.7757924594916382,0.7753681064962438,0.4889662222222223,5,4,4,4
large_face,manual_condition_review,28,27,diffusion_low_step,1.0,0.970216209937353,0.02726481192641788,0.9753086419753088,0.7379897676818333,0.592991888888889,0.9230641089794355,0.8683504401810931,0.8208866653223981,0.8156189769931568,2.2462786296296295,2,2,2,3
large_face,manual_condition_review,28,27,layered_blur_downscale_noise,1.0,0.9804563363359285,0.02657207140819756,0.9206790123456791,0.7509551117196996,0.9074030814814814,0.9024887294740043,0.8763663478368975,0.8424215677117016,0.890683551726656,0.4629845925925925,3,1,1,1
large_face,manual_condition_review,28,27,nullface,1.0,0.8773776667125814,0.10662874524671308,0.9104938271604939,0.5465811887463907,0.0,0.8193328573243043,0.7192212702041642,0.6464387425213436,0.5735137686134757,20.167528999999995,4,5,6,6
large_face,manual_condition_review,28,27,pixelate,1.0,0.9933685741298587,0.015589752873724879,0.21141975308641975,0.8407867583276806,0.9039147111111109,0.41930757646520156,0.5483373751526252,0.6742107762008773,0.6238996662334374,0.4804264444444443,7,6,5,5
large_face,manual_condition_review,28,27,reverse_personalization,0.6666666666666666,0.9854100100455837,0.01059613465062844,0.5172839506172839,0.5837829157189537,0.0,0.5163328694566085,0.5004435166909947,0.5137433097113288,0.390336830057371,139.439574,6,7,7,7
large_face,manual_condition_review,28,27,solid_mask_black,1.0,0.9462850878009222,0.049151875091613166,1.0,0.5743533035168146,0.9165443037037037,0.9319802107127073,0.8639604214254148,0.7788310821287777,0.889833951814474,0.41727848148148156,1,3,3,2
low_light_or_dim,manual_condition_review,100,62,blur,1.0,0.9901386677555805,0.012915385588947233,0.8491743471582182,0.8690417015899591,0.902753135483871,0.8699159550234401,0.8755749976044838,0.8795484684908319,0.8843040198264404,0.4862343225806452,4,4,2,3
low_light_or_dim,manual_condition_review,100,62,diffusion_low_step,1.0,0.979182227743118,0.01841527937475832,0.9758736559139786,0.8165561284044285,0.4715460161290323,0.9291722792069008,0.8800582680912209,0.8481947625893109,0.7951244928851868,2.7490269677419366,3,3,3,4
low_light_or_dim,manual_condition_review,100,62,layered_blur_downscale_noise,1.0,0.9850110750290576,0.016444675630003576,0.9800979262672811,0.8395763095388511,0.9115907032258065,0.9575845299792146,0.9330809263178765,0.9049766029721905,0.9334316433824245,0.44204648387096773,1,1,1,1
low_light_or_dim,manual_condition_review,100,62,nullface,1.0,0.9445055310786616,0.050754318954498175,0.9138440860215054,0.7413208125493103,0.0,0.8508889820974503,0.7793182867755457,0.7448136320811067,0.613801796918464,20.167529000000005,5,5,6,6
low_light_or_dim,manual_condition_review,100,62,pixelate,1.0,0.9943441905582431,0.010460990090993414,0.5739343317972351,0.8925621943691875,0.9041665999999999,0.6808466914134428,0.7451524842093737,0.8088780567237642,0.7793361515927315,0.47916699999999995,6,6,5,5
low_light_or_dim,manual_condition_review,100,62,reverse_personalization,0.8064516129032258,0.988682321032002,0.007618443978195688,0.6603014592933948,0.7397528306053867,0.0,0.6538191073865068,0.632721740118636,0.6486120143810342,0.49271631112875797,139.439574,7,7,7,7
low_light_or_dim,manual_condition_review,100,62,solid_mask_black,1.0,0.9646814249065128,0.032128118367249804,0.9986559139784946,0.7054164987169985,0.9168180387096773,0.9507125165279796,0.9026347104753146,0.8439868274230155,0.9155910769477009,0.41590980645161285,2,2,4,2
medium_face,manual_condition_review,280,234,blur,1.0,0.990646712920096,0.011204361164361302,0.9243869556369556,0.8837891631725479,0.9014586666666666,0.9247121767550844,0.9174760934369088,0.9093565349440275,0.916950214889292,0.4927066666666667,4,2,2,3
medium_face,manual_condition_review,280,234,diffusion_low_step,1.0,0.9827008669806585,0.013694515385123718,0.9757206528039862,0.8549188626787182,0.42618922820512817,0.9325517477748544,0.8869549080261212,0.8627945500010676,0.7891288021188765,3.0516546666666664,3,4,3,5
medium_face,manual_condition_review,280,234,layered_blur_downscale_noise,1.0,0.9866580417377862,0.012947477607263459,0.9747312101478768,0.8650117184735023,0.9111054735042735,0.9576188785497527,0.9379796679664164,0.9160357696315417,0.9362264698051332,0.4444726324786325,1,1,1,1
medium_face,manual_condition_review,280,234,nullface,1.0,0.9649600745489323,0.031144134655523185,0.9207848478681812,0.7525543267914339,0.0,0.8574325425264419,0.7861587219715207,0.7525126177561712,0.6188248045055593,20.167529,5,5,6,6
medium_face,manual_condition_review,280,234,pixelate,1.0,0.9946074067652483,0.008760036653878853,0.5927415948249282,0.9097033368438356,0.9030811350427351,0.6965286736561619,0.7595899119698882,0.8229822603736697,0.7899616458115588,0.4845943247863248,6,6,5,4
medium_face,manual_condition_review,280,234,reverse_personalization,0.8333333333333334,0.9891234781102981,0.00676074510091516,0.7066756545923213,0.7732525077700206,0.0,0.6939941677134612,0.6686469129605,0.6819622835960399,0.520654096724266,139.439574,7,7,7,7
medium_face,manual_condition_review,280,234,solid_mask_black,1.0,0.9703073413516367,0.026705663205466718,0.9996438746438747,0.7269470230222079,0.9151771982905982,0.9545516256185733,0.9094237640576596,0.8548843937333261,0.9198001139491708,0.4241140085470086,2,3,4,2
mixed_scale_face,manual_condition_review,45,45,blur,1.0,0.9856107894714711,0.02005224758759141,0.9151499118165785,0.7922829188598216,0.9000367955555555,0.904449215878356,0.8852635111217911,0.8606901125304399,0.8945275871652625,0.4998160222222222,3,2,2,2
mixed_scale_face,manual_condition_review,45,45,diffusion_low_step,1.0,0.9723296036395435,0.023784853228264385,0.9612782587782588,0.7483162695371278,0.25059044,0.8976717435753502,0.8301930542502676,0.7876006564020416,0.7093516894187292,4.1631686,4,4,4,5
mixed_scale_face,manual_condition_review,45,45,layered_blur_downscale_noise,1.0,0.9802221873655959,0.0230859214026067,0.9732142857142857,0.7592518796567311,0.9069104755555557,0.9404833057262876,0.9050737543097177,0.8622812730982066,0.9132092328837271,0.46544762222222225,1,1,1,1
mixed_scale_face,manual_condition_review,45,45,nullface,1.0,0.9105502375919708,0.08769458983507421,0.9614013147346482,0.5258967846942819,0.0,0.8518654380183959,0.7384696927756086,0.6513687867675353,0.5897398828327156,20.167528999999995,5,6,6,6
mixed_scale_face,manual_condition_review,45,45,pixelate,1.0,0.9923672708153929,0.015559216899176439,0.6351531184864517,0.840591466415932,0.9028766711111108,0.7158397364584616,0.7600416662791165,0.8011293358650124,0.7930425420111006,0.4856166444444445,6,5,3,4
mixed_scale_face,manual_condition_review,45,45,reverse_personalization,0.7777777777777778,0.985380222327613,0.010645918925071047,0.6625220458553792,0.6923500403666246,0.0,0.6453957159315369,0.6167438128154547,0.6227094117177038,0.48125660419325444,139.439574,7,7,7,7
mixed_scale_face,manual_condition_review,45,45,solid_mask_black,1.0,0.9468143882243565,0.04776511366168658,1.0,0.5483607127544978,0.9149237466666665,0.9280002942465079,0.8560005884930159,0.7656727310439156,0.8841492665508995,0.4253812666666667,2,3,5,3
motion_blur_or_low_sharpness,manual_condition_review,94,49,blur,1.0,0.9930755150618087,0.008680794786006136,0.8697278911564628,0.9112527069763802,0.9109627714285714,0.8910455684274095,0.8993360348140025,0.9076409979779861,0.9034305292864325,0.44518614285714286,4,3,2,3
motion_blur_or_low_sharpness,manual_condition_review,94,49,diffusion_low_step,1.0,0.9837030403140781,0.015489155013228253,0.9687074829931973,0.8485747798638493,0.5571603632653062,0.9332394732380807,0.8946422117822842,0.8706156711564145,0.8243460581496407,2.3218896530612243,3,4,4,4
motion_blur_or_low_sharpness,manual_condition_review,94,49,layered_blur_downscale_noise,1.0,0.9888145431551242,0.012285546048031169,0.9758503401360545,0.8805974828449057,0.9194645183673471,0.9611580864403412,0.9440508667582335,0.9250002953000039,0.942298988133607,0.40267740816326525,2,1,1,1
motion_blur_or_low_sharpness,manual_condition_review,94,49,nullface,1.0,0.9603297600965495,0.03831171385031574,0.8729591836734694,0.7889346981395458,0.0,0.8294116332923603,0.7731600012785984,0.7563551041718137,0.6069706130972968,20.167529,5,5,6,6
motion_blur_or_low_sharpness,manual_condition_review,94,49,pixelate,1.0,0.9956910291191973,0.007476686286188814,0.5962585034013606,0.9230786516977105,0.9121367673469387,0.7014495885029559,0.7662665239446874,0.8316305536039574,0.7967601619041681,0.4393161632653061,7,6,5,5
motion_blur_or_low_sharpness,manual_condition_review,94,49,reverse_personalization,0.8367346938775511,0.9907241126660044,0.007140532201763404,0.7277210884353741,0.7737718087498362,0.0,0.7091440026049923,0.679665556230393,0.6888757002932855,0.5295162665118721,139.439574,6,7,7,7
